item_idx,degree,degree_group
0,1630,high
1,275,high
2,134,medium
3,36,medium
4,94,medium
5,642,high
6,207,medium
7,19,medium
8,24,medium
9,480,high
10,689,high
11,27,medium
12,43,medium
13,85,medium
14,29,medium
15,433,high
16,622,high
17,67,medium
18,71,medium
19,19,medium
20,773,high
21,173,medium
22,33,medium
23,247,high
24,597,high
25,55,medium
26,16,medium
27,133,medium
28,299,high
29,38,medium
30,44,medium
31,1065,high
32,1,low
33,1211,high
34,28,medium
35,658,high
36,5,low
37,9,low
38,809,high
39,24,medium
40,188,medium
41,56,medium
42,82,medium
43,76,medium
44,271,high
45,54,medium
46,881,high
47,121,medium
48,16,medium
49,1587,high
50,256,high
51,8,low
52,8,low
53,19,medium
54,2,low
55,46,medium
56,378,high
57,2,low
58,139,medium
59,19,medium
60,343,high
61,33,medium
62,5,low
63,18,medium
64,5,low
65,2,low
66,31,medium
67,186,medium
68,377,high
69,11,medium
70,57,medium
71,147,medium
72,40,medium
73,1,low
74,44,medium
75,21,medium
76,23,medium
77,21,medium
78,35,medium
79,70,medium
80,57,medium
81,19,medium
82,6,low
83,98,medium
84,91,medium
85,6,low
86,55,medium
87,73,medium
88,4,low
89,9,low
90,9,low
91,106,medium
92,180,medium
93,10,medium
94,32,medium
95,27,medium
96,38,medium
97,170,medium
98,4,low
99,13,medium
100,388,high
101,159,medium
102,8,low
103,104,medium
104,3,low
105,1951,high
106,993,high
107,287,high
108,12,medium
109,3,low
110,33,medium
111,45,medium
112,23,medium
113,2,low
114,30,medium
115,42,medium
116,81,medium
117,5,low
118,214,medium
119,13,medium
120,10,medium
121,7,low
122,1,low
123,4,low
124,13,medium
125,1,low
126,37,medium
127,5,low
128,3,low
129,1,low
130,1,low
131,54,medium
132,371,high
133,202,medium
134,163,medium
135,5,low
136,99,medium
137,6,low
138,30,medium
139,974,high
140,319,high
141,22,medium
142,156,medium
143,105,medium
144,44,medium
145,32,medium
146,52,medium
147,78,medium
148,48,medium
149,58,medium
150,478,high
151,364,high
152,272,high
153,209,medium
154,457,high
155,15,medium
156,1,low
157,120,medium
158,8,low
159,117,medium
160,55,medium
161,88,medium
162,73,medium
163,14,medium
164,119,medium
165,149,medium
166,39,medium
167,10,medium
168,2,low
169,251,high
170,6,low
171,18,medium
172,15,medium
173,10,medium
174,151,medium
175,44,medium
176,42,medium
177,79,medium
178,7,low
179,64,medium
180,12,medium
181,1,low
182,22,medium
183,137,medium
184,34,medium
185,140,medium
186,5,low
187,267,high
188,81,medium
189,2,low
190,8,low
191,7,low
192,75,medium
193,63,medium
194,49,medium
195,52,medium
196,91,medium
197,148,medium
198,9,low
199,12,medium
200,20,medium
201,1,low
202,95,medium
203,23,medium
204,106,medium
205,139,medium
206,12,medium
207,66,medium
208,9,low
209,1,low
210,177,medium
211,995,high
212,173,medium
213,96,medium
214,25,medium
216,56,medium
217,178,medium
218,287,high
219,270,high
220,135,medium
221,22,medium
222,582,high
223,128,medium
224,72,medium
225,9,low
226,50,medium
227,8,low
228,11,medium
229,47,medium
230,3,low
231,581,high
232,326,high
233,38,medium
234,165,medium
235,5,low
236,8,low
237,142,medium
238,391,high
239,11,medium
240,7,low
241,47,medium
242,50,medium
243,31,medium
244,28,medium
245,2587,high
246,166,medium
247,118,medium
248,23,medium
249,3,low
250,541,high
251,341,high
252,38,medium
253,26,medium
254,30,medium
255,28,medium
256,25,medium
257,240,high
258,72,medium
259,2,low
260,14,medium
261,45,medium
262,63,medium
263,7,low
264,30,medium
265,125,medium
266,129,medium
267,90,medium
268,7,low
269,4,low
270,299,high
271,67,medium
272,118,medium
273,5,low
274,295,high
275,721,high
276,16,medium
277,5,low
278,1738,high
279,13,medium
280,19,medium
281,90,medium
282,463,high
283,19,medium
284,57,medium
285,125,medium
286,13,medium
287,20,medium
288,269,high
289,189,medium
290,146,medium
291,32,medium
292,2,low
293,19,medium
294,15,medium
295,199,medium
296,42,medium
297,579,high
298,263,high
299,2017,high
300,194,medium
301,15,medium
302,39,medium
303,123,medium
304,24,medium
305,8,low
306,49,medium
307,91,medium
308,56,medium
309,454,high
310,34,medium
311,5,low
312,27,medium
313,219,medium
314,77,medium
315,22,medium
316,6,low
317,466,high
318,54,medium
319,337,high
320,34,medium
321,19,medium
322,319,high
323,7,low
324,312,high
325,312,high
326,66,medium
327,20,medium
328,284,high
329,680,high
330,230,medium
331,119,medium
332,42,medium
333,367,high
334,25,medium
335,31,medium
336,1643,high
337,781,high
338,53,medium
339,5,low
340,23,medium
341,123,medium
342,106,medium
343,55,medium
344,751,high
345,29,medium
346,81,medium
347,497,high
348,413,high
349,23,medium
350,109,medium
351,77,medium
352,155,medium
353,176,medium
354,20,medium
355,7,low
356,133,medium
357,921,high
358,37,medium
359,117,medium
360,805,high
361,86,medium
362,85,medium
363,113,medium
364,11,medium
365,4,low
366,9,low
367,23,medium
368,59,medium
369,13,medium
370,31,medium
371,15,medium
372,8,low
373,6,low
374,9,low
375,1,low
376,2,low
377,1,low
378,1,low
379,2,low
380,22,medium
381,6,low
382,65,medium
383,30,medium
384,15,medium
385,134,medium
386,3,low
387,155,medium
388,42,medium
389,21,medium
390,22,medium
391,10,medium
392,107,medium
393,6,low
394,15,medium
395,59,medium
396,42,medium
397,20,medium
398,76,medium
399,14,medium
400,59,medium
401,89,medium
402,27,medium
403,192,medium
404,33,medium
405,3,low
406,228,medium
407,59,medium
408,7,low
409,242,high
410,109,medium
411,31,medium
412,4,low
413,29,medium
414,2,low
415,632,high
416,381,high
417,203,medium
418,14,medium
419,11,medium
420,20,medium
421,197,medium
422,3,low
423,128,medium
424,45,medium
425,92,medium
426,38,medium
427,18,medium
428,22,medium
429,453,high
430,51,medium
431,67,medium
432,1592,high
433,35,medium
434,36,medium
435,4,low
436,38,medium
437,5,low
438,10,medium
439,48,medium
440,48,medium
441,144,medium
442,23,medium
443,143,medium
444,21,medium
445,1,low
446,350,high
447,10,medium
448,14,medium
449,672,high
450,227,medium
451,8,low
452,103,medium
453,2,low
454,29,medium
455,1698,high
456,137,medium
457,89,medium
458,46,medium
459,7,low
460,84,medium
461,17,medium
462,14,medium
463,18,medium
464,11,medium
465,86,medium
466,92,medium
467,211,medium
468,174,medium
469,194,medium
470,21,medium
471,15,medium
472,487,high
473,12,medium
474,8,low
475,400,high
476,50,medium
477,10,medium
478,8,low
479,54,medium
480,10,medium
481,62,medium
482,166,medium
483,390,high
484,383,high
485,5,low
486,54,medium
487,49,medium
488,26,medium
489,191,medium
490,319,high
491,62,medium
492,138,medium
493,26,medium
494,11,medium
495,121,medium
496,59,medium
497,47,medium
498,70,medium
499,264,high
500,9,low
501,2,low
502,2041,high
503,11,medium
504,520,high
505,1,low
506,213,medium
507,154,medium
508,46,medium
509,192,medium
510,201,medium
511,24,medium
512,65,medium
513,200,medium
514,613,high
515,14,medium
516,1455,high
517,51,medium
518,326,high
519,23,medium
520,24,medium
521,38,medium
522,21,medium
523,100,medium
524,58,medium
525,612,high
526,217,medium
527,364,high
528,5,low
529,458,high
530,114,medium
531,2,low
532,33,medium
533,2,low
534,5,low
535,8,low
536,319,high
537,7,low
538,6,low
539,24,medium
540,3,low
541,7,low
542,27,medium
543,30,medium
544,10,medium
545,19,medium
546,1,low
547,10,medium
548,92,medium
549,29,medium
550,20,medium
551,2,low
552,26,medium
553,107,medium
554,16,medium
555,1,low
556,128,medium
557,254,high
558,588,high
559,891,high
560,2020,high
561,993,high
562,811,high
563,2219,high
564,502,high
565,719,high
566,314,high
567,621,high
568,6,low
569,208,medium
570,13,medium
571,29,medium
572,17,medium
573,93,medium
574,11,medium
575,2038,high
576,17,medium
577,315,high
578,46,medium
579,10,medium
580,50,medium
581,1,low
582,53,medium
583,131,medium
584,8,low
585,1,low
586,7,low
587,24,medium
588,1,low
589,1,low
590,4,low
591,66,medium
592,341,high
593,3,low
594,11,medium
595,10,medium
596,11,medium
597,39,medium
598,31,medium
599,9,low
600,20,medium
601,12,medium
602,10,medium
603,233,medium
604,746,high
605,12,medium
606,46,medium
607,2,low
608,243,high
609,9,low
610,15,medium
611,266,high
612,42,medium
613,133,medium
614,2,low
615,22,medium
616,1,low
617,6,low
618,37,medium
619,19,medium
620,48,medium
621,290,high
622,97,medium
623,135,medium
624,251,high
625,1,low
626,29,medium
627,11,medium
628,3,low
629,13,medium
630,1,low
631,21,medium
632,43,medium
633,13,medium
634,26,medium
635,52,medium
636,1,low
637,15,medium
638,63,medium
639,1,low
640,15,medium
641,8,low
642,27,medium
643,1,low
644,90,medium
645,334,high
646,52,medium
647,6,low
648,8,low
649,1,low
650,102,medium
651,31,medium
652,6,low
653,1,low
654,19,medium
655,65,medium
656,389,high
657,18,medium
658,138,medium
659,20,medium
660,1,low
661,137,medium
662,2,low
663,10,medium
664,1,low
665,816,high
666,1,low
667,51,medium
668,443,high
669,32,medium
670,238,medium
671,33,medium
672,22,medium
673,601,high
674,22,medium
675,8,low
676,143,medium
677,1,low
678,1197,high
679,8,low
680,13,medium
681,5,low
682,7,low
683,1,low
684,3,low
685,1,low
686,46,medium
687,15,medium
688,29,medium
689,32,medium
690,28,medium
691,37,medium
692,55,medium
693,8,low
694,5,low
695,11,medium
696,1,low
697,2,low
698,2,low
699,558,high
700,12,medium
701,927,high
702,52,medium
703,25,medium
704,158,medium
705,91,medium
706,418,high
707,167,medium
708,3,low
709,309,high
710,1,low
711,1,low
712,1,low
713,2,low
714,2,low
715,43,medium
716,159,medium
717,482,high
718,42,medium
719,227,medium
720,33,medium
721,63,medium
722,196,medium
723,20,medium
724,6,low
725,19,medium
726,17,medium
727,1,low
728,5,low
729,6,low
730,1,low
731,43,medium
732,3,low
733,2,low
734,20,medium
735,17,medium
736,18,medium
737,97,medium
738,15,medium
739,299,high
740,8,low
741,36,medium
742,45,medium
743,111,medium
744,359,high
745,17,medium
746,9,low
747,12,medium
748,32,medium
749,4,low
750,25,medium
751,81,medium
752,99,medium
753,16,medium
754,62,medium
755,246,high
756,2,low
757,5,low
758,1967,high
759,6,low
760,152,medium
761,18,medium
762,5,low
763,7,low
764,390,high
765,4,low
766,15,medium
767,8,low
768,3,low
769,24,medium
770,6,low
771,10,medium
772,1,low
773,64,medium
774,38,medium
775,18,medium
776,15,medium
777,10,medium
778,27,medium
779,1,low
780,9,low
781,34,medium
782,101,medium
783,44,medium
784,27,medium
785,61,medium
786,495,high
787,609,high
788,225,medium
789,101,medium
790,468,high
791,753,high
792,947,high
793,312,high
794,144,medium
795,76,medium
796,1156,high
797,332,high
798,693,high
799,248,high
800,1413,high
801,908,high
802,495,high
803,265,high
804,342,high
805,49,medium
806,121,medium
807,1368,high
808,803,high
809,213,medium
