user_idx,degree,degree_group
0,43,medium
1,71,medium
2,35,medium
3,16,low
4,80,medium
5,48,medium
6,24,medium
7,83,medium
8,67,medium
9,303,high
10,66,medium
11,12,low
12,38,medium
13,11,low
14,97,medium
15,11,low
16,165,high
17,192,high
18,141,medium
19,17,low
20,4,low
21,117,medium
22,127,medium
23,108,medium
24,50,medium
25,100,medium
26,52,medium
27,68,medium
28,50,medium
29,20,low
30,66,medium
31,26,medium
32,198,high
33,111,medium
34,113,medium
35,301,high
36,34,medium
37,54,medium
38,32,medium
39,48,medium
40,12,low
41,141,medium
42,18,low
43,118,medium
44,89,medium
45,31,medium
46,15,low
47,154,high
48,63,medium
49,11,low
50,24,medium
51,44,medium
52,534,high
53,31,medium
54,16,low
55,48,medium
56,29,medium
57,322,high
58,107,medium
59,32,medium
60,7,low
61,261,high
62,48,medium
63,21,low
64,106,medium
65,14,low
66,54,medium
67,48,medium
68,52,medium
69,32,medium
70,17,low
71,28,medium
72,115,medium
73,28,medium
74,132,medium
75,71,medium
76,10,low
77,80,medium
78,14,low
79,31,medium
80,72,medium
81,86,medium
82,54,medium
83,20,low
84,13,low
85,40,medium
86,25,medium
87,53,medium
88,11,low
89,102,medium
90,40,medium
91,140,medium
92,82,medium
93,12,low
94,52,medium
95,47,medium
96,143,high
97,10,low
98,49,medium
99,18,low
100,96,medium
101,57,medium
102,84,medium
103,19,low
104,48,medium
105,34,medium
106,73,medium
107,15,low
108,69,medium
109,32,medium
110,57,medium
111,43,medium
112,37,medium
113,64,medium
114,20,low
115,54,medium
116,208,high
117,133,medium
118,49,medium
119,32,medium
120,61,medium
121,23,medium
122,284,high
123,18,low
124,54,medium
125,36,medium
126,110,medium
127,16,low
128,122,medium
129,112,medium
130,166,high
131,61,medium
132,123,medium
133,53,medium
134,38,medium
135,169,high
136,115,medium
137,57,medium
138,155,high
139,34,medium
140,13,low
141,21,low
142,34,medium
143,15,low
144,13,low
145,278,high
146,99,medium
147,389,high
148,427,high
149,186,high
150,280,high
151,18,low
152,17,low
153,13,low
154,37,medium
155,128,medium
156,260,high
157,15,low
158,21,low
159,7,low
160,271,high
161,79,medium
162,56,medium
163,22,medium
164,81,medium
165,225,high
166,16,low
167,16,low
168,334,high
169,60,medium
170,17,low
171,10,low
172,391,high
173,54,medium
174,230,high
175,43,medium
176,31,medium
177,77,medium
178,26,medium
179,33,medium
180,180,high
181,53,medium
182,75,medium
183,58,medium
184,25,medium
185,100,medium
186,348,high
187,26,medium
188,20,low
189,84,medium
190,12,low
191,209,high
192,147,high
193,46,medium
194,565,high
195,21,low
196,13,low
197,244,high
198,177,high
199,11,low
200,60,medium
201,284,high
202,23,medium
203,243,high
204,108,medium
205,12,low
206,13,low
207,104,medium
208,7,low
209,77,medium
210,23,medium
211,78,medium
212,17,low
213,69,medium
214,30,medium
215,333,high
216,9,low
217,32,medium
218,12,low
219,77,medium
220,10,low
221,66,medium
222,127,medium
223,95,medium
224,277,high
225,9,low
226,11,low
227,25,medium
228,97,medium
229,138,medium
230,78,medium
231,51,medium
232,47,medium
233,24,medium
234,343,high
235,38,medium
236,89,medium
237,151,high
238,52,medium
239,57,medium
240,41,medium
241,98,medium
242,17,low
243,70,medium
244,139,medium
245,17,low
246,17,low
247,22,medium
248,70,medium
249,10,low
250,39,medium
251,45,medium
252,41,medium
253,14,low
254,210,high
255,54,medium
256,42,medium
257,84,medium
258,109,medium
259,69,medium
260,201,high
261,44,medium
262,55,medium
263,103,medium
264,80,medium
265,42,medium
266,59,medium
267,143,high
268,17,low
269,104,medium
270,225,high
271,303,high
272,120,medium
273,125,medium
274,65,medium
275,12,low
276,14,low
277,133,medium
278,13,low
279,33,medium
280,71,medium
281,13,low
282,25,medium
283,187,high
284,103,medium
285,28,medium
286,61,medium
287,51,medium
288,51,medium
289,11,low
290,87,medium
291,25,medium
292,172,high
293,25,medium
294,121,medium
295,61,medium
296,62,medium
297,19,low
298,84,medium
299,201,high
300,227,high
301,252,high
302,140,medium
303,12,low
304,42,medium
305,142,medium
306,162,high
307,278,high
308,97,medium
309,128,medium
310,15,low
311,35,medium
312,18,low
313,180,high
314,13,low
315,58,medium
316,14,low
317,14,low
318,305,high
319,16,low
320,96,medium
321,33,medium
322,78,medium
323,39,medium
324,28,medium
325,150,high
