item_id,degree,scenario,alpha
0,8,high,1.3
1,15,high,1.3
2,23,high,1.3
3,10,high,1.3
4,8,high,1.3
5,9,high,1.3
6,24,high,1.3
7,55,high,1.3
8,13,high,1.3
9,8,high,1.3
10,21,high,1.3
11,7,high,1.3
12,9,high,1.3
13,10,high,1.3
14,28,high,1.3
15,5,high,1.3
16,0,high,1.3
17,10,high,1.3
18,3,high,1.3
19,5,high,1.3
20,2,high,1.3
21,6,high,1.3
22,72,high,1.3
23,16,high,1.3
24,3,high,1.3
25,381,high,1.3
26,2,high,1.3
27,3,high,1.3
28,19,high,1.3
29,6,high,1.3
30,11,high,1.3
31,8,high,1.3
32,5,high,1.3
33,24,high,1.3
34,18,high,1.3
35,4,high,1.3
36,55,high,1.3
37,9,high,1.3
38,5,high,1.3
39,2,high,1.3
40,10,high,1.3
41,15,high,1.3
42,11,high,1.3
43,2,high,1.3
44,6,high,1.3
45,21,high,1.3
46,2,high,1.3
47,138,high,1.3
48,7,high,1.3
49,7,high,1.3
50,9,high,1.3
51,26,high,1.3
52,7,high,1.3
53,12,high,1.3
54,4,high,1.3
55,6,high,1.3
56,1,high,1.3
57,67,high,1.3
58,6,high,1.3
59,2,high,1.3
60,6,high,1.3
61,110,high,1.3
62,14,high,1.3
63,5,high,1.3
64,5,high,1.3
65,2,high,1.3
66,6,high,1.3
67,26,high,1.3
68,6,high,1.3
69,8,high,1.3
70,4,high,1.3
71,12,high,1.3
72,83,high,1.3
73,0,high,1.3
74,7,high,1.3
75,3,high,1.3
76,2,high,1.3
77,5,high,1.3
78,73,high,1.3
79,45,high,1.3
80,56,high,1.3
81,60,high,1.3
82,6,high,1.3
83,3,high,1.3
84,2,high,1.3
85,26,high,1.3
86,9,high,1.3
87,7,high,1.3
88,2,high,1.3
89,7,high,1.3
90,11,high,1.3
91,7,high,1.3
92,3,high,1.3
93,23,high,1.3
94,5,high,1.3
95,6,high,1.3
96,20,high,1.3
97,4,high,1.3
98,6,high,1.3
99,99,high,1.3
100,33,high,1.3
101,75,high,1.3
102,7,high,1.3
103,399,high,1.3
104,662,high,1.3
105,4,high,1.3
106,5,high,1.3
107,14,high,1.3
108,6,high,1.3
109,2,high,1.3
110,62,high,1.3
111,17,high,1.3
112,25,high,1.3
113,3,high,1.3
114,8,high,1.3
115,4,high,1.3
116,60,high,1.3
117,56,high,1.3
118,6,high,1.3
119,3,high,1.3
120,6,high,1.3
121,10,high,1.3
122,6,high,1.3
123,7,high,1.3
124,23,high,1.3
125,9,high,1.3
126,4,high,1.3
127,9,high,1.3
128,8,high,1.3
129,10,high,1.3
130,35,high,1.3
131,5,high,1.3
132,9,high,1.3
133,3,high,1.3
134,12,high,1.3
135,8,high,1.3
136,12,high,1.3
137,5,high,1.3
138,2,high,1.3
139,2,high,1.3
140,3,high,1.3
141,413,high,1.3
142,7,high,1.3
143,4,high,1.3
144,1,high,1.3
145,15,high,1.3
146,20,high,1.3
147,11,high,1.3
148,5,high,1.3
149,154,high,1.3
150,102,high,1.3
151,2,high,1.3
152,51,high,1.3
153,9,high,1.3
154,3,high,1.3
155,3,high,1.3
156,9,high,1.3
157,1,high,1.3
158,132,high,1.3
159,9,high,1.3
160,113,high,1.3
161,5,high,1.3
162,6,high,1.3
163,28,high,1.3
164,401,high,1.3
165,5,high,1.3
166,14,high,1.3
167,4,high,1.3
168,6,high,1.3
169,87,high,1.3
170,210,high,1.3
171,11,high,1.3
172,14,high,1.3
173,12,high,1.3
174,34,high,1.3
175,3,high,1.3
176,4,high,1.3
177,31,high,1.3
178,37,high,1.3
179,9,high,1.3
180,7,high,1.3
181,2,high,1.3
182,4,high,1.3
183,11,high,1.3
184,9,high,1.3
185,660,high,1.3
186,2,high,1.3
187,8,high,1.3
188,5,high,1.3
189,12,high,1.3
190,3,high,1.3
191,10,high,1.3
192,25,high,1.3
193,11,high,1.3
194,8,high,1.3
195,1,high,1.3
196,39,high,1.3
197,4,high,1.3
198,4,high,1.3
199,65,high,1.3
200,1,high,1.3
201,6,high,1.3
202,4,high,1.3
203,2,high,1.3
204,24,high,1.3
205,29,high,1.3
206,681,high,1.3
207,24,high,1.3
208,9,high,1.3
209,11,high,1.3
210,6,high,1.3
211,11,high,1.3
212,18,high,1.3
213,26,high,1.3
214,8,high,1.3
215,14,high,1.3
216,6,high,1.3
217,5,high,1.3
218,3,high,1.3
219,16,high,1.3
220,15,high,1.3
221,22,high,1.3
222,20,high,1.3
223,9,high,1.3
224,11,high,1.3
225,279,high,1.3
226,7,high,1.3
227,25,high,1.3
228,30,high,1.3
229,123,high,1.3
230,12,high,1.3
231,76,high,1.3
232,4,high,1.3
233,11,high,1.3
234,6,high,1.3
235,95,high,1.3
236,7,high,1.3
237,13,high,1.3
238,7,high,1.3
239,6,high,1.3
240,6,high,1.3
241,3,high,1.3
242,300,high,1.3
243,42,high,1.3
244,3,high,1.3
245,9,high,1.3
246,32,high,1.3
247,5,high,1.3
248,29,high,1.3
249,4,high,1.3
250,7,high,1.3
251,11,high,1.3
252,11,high,1.3
253,6,high,1.3
254,7,high,1.3
255,2,high,1.3
256,10,high,1.3
257,673,high,1.3
258,8,high,1.3
259,6,high,1.3
260,10,high,1.3
261,6,high,1.3
262,6,high,1.3
263,4,high,1.3
264,30,high,1.3
265,16,high,1.3
266,10,high,1.3
267,41,high,1.3
268,14,high,1.3
269,5,high,1.3
270,3,high,1.3
271,8,high,1.3
272,6,high,1.3
273,36,high,1.3
274,59,high,1.3
