user_id,item_id,interaction_order,user_community,item_community
0,253,1,3,3
0,93,2,3,3
0,115,3,3,0
0,42,4,3,2
0,588,5,3,3
0,83,6,3,3
0,559,7,3,4
0,69,8,3,4
0,202,9,3,2
0,598,10,3,3
0,528,11,3,3
0,100,12,3,0
0,372,13,3,2
0,464,14,3,4
0,163,15,3,3
0,474,16,3,4
0,478,17,3,3
0,233,18,3,3
0,503,19,3,3
0,4,20,3,4
1,498,1,3,3
1,193,2,3,3
1,31,3,3,1
1,448,4,3,3
1,191,5,3,1
1,493,6,3,3
1,481,7,3,1
1,437,8,3,2
1,536,9,3,1
1,277,10,3,2
1,528,11,3,3
1,586,12,3,1
1,249,13,3,4
1,213,14,3,3
1,294,15,3,4
1,87,16,3,2
1,254,17,3,4
1,58,18,3,3
1,473,19,3,3
1,403,20,3,3
2,324,1,4,4
2,56,2,4,1
2,106,3,4,1
2,72,4,4,2
2,279,5,4,4
2,444,6,4,4
2,239,7,4,4
2,492,8,4,2
2,452,9,4,2
2,154,10,4,4
2,125,11,4,0
2,450,12,4,0
2,494,13,4,4
2,52,14,4,2
2,221,15,4,1
2,451,16,4,1
2,132,17,4,2
2,237,18,4,2
2,304,19,4,4
2,105,20,4,0
3,39,1,1,4
3,126,2,1,1
3,496,3,1,1
3,16,4,1,1
3,454,5,1,4
3,337,6,1,2
3,231,7,1,1
3,156,8,1,1
3,312,9,1,2
3,291,10,1,1
3,29,11,1,4
3,336,12,1,1
3,1,13,1,1
3,361,14,1,1
3,426,15,1,1
3,406,16,1,1
3,251,17,1,1
3,188,18,1,3
3,161,19,1,1
3,330,20,1,0
4,81,1,2,1
4,122,2,2,2
4,532,3,2,2
4,106,4,2,1
4,123,5,2,3
4,217,6,2,2
4,64,7,2,4
4,59,8,2,4
4,192,9,2,2
4,68,10,2,3
4,372,11,2,2
4,73,12,2,3
4,516,13,2,1
4,557,14,2,2
4,158,15,2,3
4,214,16,2,4
4,127,17,2,2
4,252,18,2,2
4,367,19,2,2
4,32,20,2,2
5,258,1,3,3
5,341,2,3,1
5,519,3,3,4
5,559,4,3,4
5,77,5,3,2
5,245,6,3,0
5,228,7,3,3
5,116,8,3,1
5,379,9,3,4
5,234,10,3,4
5,353,11,3,3
5,198,12,3,3
5,271,13,3,1
5,193,14,3,3
5,583,15,3,3
5,238,16,3,3
5,215,17,3,0
5,351,18,3,1
5,63,19,3,3
5,556,20,3,1
6,446,1,1,1
6,22,2,1,2
6,357,3,1,2
6,407,4,1,2
6,336,5,1,1
6,566,6,1,1
6,401,7,1,1
6,1,8,1,1
6,16,9,1,1
6,553,10,1,3
6,271,11,1,1
6,296,12,1,1
6,452,13,1,2
6,346,14,1,1
6,154,15,1,4
6,511,16,1,1
6,556,17,1,1
6,496,18,1,1
6,31,19,1,1
6,235,20,1,0
7,475,1,0,0
7,250,2,0,0
7,254,3,0,4
7,70,4,0,0
7,288,5,0,3
7,220,6,0,0
7,170,7,0,0
7,355,8,0,0
7,224,9,0,4
7,578,10,0,3
7,111,11,0,1
7,337,12,0,2
7,512,13,0,2
7,501,14,0,1
7,485,15,0,0
7,525,16,0,0
7,577,17,0,2
7,60,18,0,0
7,363,19,0,3
7,588,20,0,3
8,522,1,2,2
8,575,2,2,0
8,485,3,2,0
8,380,4,2,0
8,47,5,2,2
8,181,6,2,1
8,57,7,2,2
8,112,8,2,2
8,567,9,2,2
8,321,10,2,1
8,23,11,2,3
8,207,12,2,2
8,540,13,2,0
8,596,14,2,1
8,422,15,2,2
8,22,16,2,2
8,584,17,2,4
8,242,18,2,2
8,257,19,2,2
8,391,20,2,1
9,496,1,0,1
9,289,2,0,4
9,577,3,0,2
9,170,4,0,0
9,75,5,0,0
9,581,6,0,1
9,55,7,0,0
9,585,8,0,0
9,580,9,0,0
9,185,10,0,0
9,421,11,0,1
9,565,12,0,0
9,112,13,0,2
9,325,14,0,0
9,475,15,0,0
9,538,16,0,3
9,505,17,0,0
9,520,18,0,0
9,269,19,0,4
9,424,20,0,4
10,115,1,0,0
10,375,2,0,0
10,140,3,0,0
10,480,4,0,0
10,560,5,0,0
10,340,6,0,0
10,585,7,0,0
10,90,8,0,0
10,36,9,0,1
10,370,10,0,0
10,309,11,0,4
10,568,12,0,3
10,50,13,0,0
10,130,14,0,0
10,517,15,0,2
10,320,16,0,0
10,545,17,0,0
10,29,18,0,4
10,120,19,0,0
10,207,20,0,2
11,356,1,2,1
11,64,2,2,4
11,304,3,2,4
11,287,4,2,2
11,137,5,2,2
11,597,6,2,2
11,40,7,2,0
11,297,8,2,2
11,102,9,2,2
11,292,10,2,2
11,262,11,2,2
11,112,12,2,2
11,282,13,2,2
11,382,14,2,2
11,562,15,2,2
11,588,16,2,3
11,252,17,2,2
11,312,18,2,2
11,30,19,2,0
11,432,20,2,2
12,118,1,3,3
12,303,2,3,3
12,573,3,3,3
12,577,4,3,2
12,255,5,3,0
12,128,6,3,3
12,376,7,3,1
12,537,8,3,2
12,178,9,3,3
12,67,10,3,2
12,276,11,3,1
12,223,12,3,3
12,488,13,3,3
12,93,14,3,3
12,318,15,3,3
12,163,16,3,3
12,78,17,3,3
12,443,18,3,3
12,403,19,3,3
12,448,20,3,3
13,182,1,4,2
13,493,2,4,3
13,43,3,4,3
13,79,4,4,4
13,223,5,4,3
13,269,6,4,4
13,280,7,4,0
13,469,8,4,4
13,489,9,4,4
13,189,10,4,4
13,164,11,4,4
13,144,12,4,4
13,449,13,4,4
13,424,14,4,4
13,289,15,4,4
13,106,16,4,1
13,451,17,4,1
13,235,18,4,0
13,264,19,4,4
13,217,20,4,2
14,475,1,0,0
14,533,2,0,3
14,340,3,0,0
14,65,4,0,0
14,187,5,0,2
14,135,6,0,0
14,522,7,0,2
14,295,8,0,0
14,500,9,0,0
14,595,10,0,0
14,562,11,0,2
14,285,12,0,0
14,363,13,0,3
14,240,14,0,0
14,160,15,0,0
14,244,16,0,4
14,507,17,0,2
14,9,18,0,4
14,330,19,0,0
14,47,20,0,2
15,501,1,4,1
15,24,2,4,4
15,166,3,4,1
15,84,4,4,4
15,129,5,4,4
15,314,6,4,4
15,579,7,4,4
15,141,8,4,1
15,159,9,4,4
15,124,10,4,4
15,489,11,4,4
15,597,12,4,2
15,344,13,4,4
15,464,14,4,4
15,228,15,4,3
15,465,16,4,0
15,407,17,4,2
15,152,18,4,2
15,4,19,4,4
15,259,20,4,4
16,544,1,2,4
16,553,2,2,3
16,477,3,2,2
16,111,4,2,1
16,147,5,2,2
16,437,6,2,2
16,452,7,2,2
16,164,8,2,4
16,152,9,2,2
16,159,10,2,4
16,277,11,2,2
16,134,12,2,4
16,482,13,2,2
16,241,14,2,1
16,57,15,2,2
16,120,16,2,0
16,172,17,2,2
16,281,18,2,1
16,81,19,2,1
16,567,20,2,2
17,526,1,1,1
17,467,2,1,2
17,316,3,1,1
17,236,4,1,1
17,264,5,1,4
17,446,6,1,1
17,76,7,1,1
17,546,8,1,1
17,471,9,1,1
17,71,10,1,1
17,349,11,1,4
17,456,12,1,1
17,302,13,1,2
17,141,14,1,1
17,436,15,1,1
17,449,16,1,4
17,171,17,1,1
17,491,18,1,1
17,301,19,1,1
17,561,20,1,1
18,471,1,0,1
18,363,2,0,3
18,229,3,0,4
18,530,4,0,0
18,200,5,0,0
18,32,6,0,2
18,295,7,0,0
18,425,8,0,0
18,336,9,0,1
18,180,10,0,0
18,245,11,0,0
18,130,12,0,0
18,14,13,0,4
18,586,14,0,1
18,525,15,0,0
18,460,16,0,0
18,170,17,0,0
18,55,18,0,0
18,395,19,0,0
18,496,20,0,1
19,137,1,1,2
19,121,2,1,1
19,446,3,1,1
19,575,4,1,0
19,286,5,1,1
19,381,6,1,1
19,346,7,1,1
19,552,8,1,2
19,486,9,1,1
19,146,10,1,1
19,209,11,1,4
19,84,12,1,4
19,16,13,1,1
19,269,14,1,4
19,531,15,1,1
19,582,16,1,2
19,318,17,1,3
19,426,18,1,1
19,541,19,1,1
19,383,20,1,3
20,314,1,4,4
20,280,2,4,0
20,184,3,4,4
20,269,4,4,4
20,129,5,4,4
20,47,6,4,2
20,199,7,4,4
20,514,8,4,4
20,157,9,4,2
20,412,10,4,2
20,414,11,4,4
20,209,12,4,4
20,459,13,4,4
20,102,14,4,2
20,429,15,4,4
20,149,16,4,4
20,479,17,4,4
20,505,18,4,0
20,546,19,4,1
20,93,20,4,3
21,41,1,0,1
21,264,2,0,4
21,555,3,0,0
21,360,4,0,0
21,441,5,0,1
21,132,6,0,2
21,295,7,0,0
21,325,8,0,0
21,50,9,0,0
21,288,10,0,3
21,496,11,0,1
21,299,12,0,4
21,309,13,0,4
21,445,14,0,0
21,455,15,0,0
21,551,16,0,1
21,370,17,0,0
21,282,18,0,2
21,140,19,0,0
21,315,20,0,0
22,598,1,2,3
22,300,2,2,0
22,509,3,2,4
22,157,4,2,2
22,542,5,2,2
22,133,6,2,3
22,100,7,2,0
22,452,8,2,2
22,456,9,2,1
22,92,10,2,2
22,150,11,2,0
22,376,12,2,1
22,247,13,2,2
22,384,14,2,4
22,196,15,2,1
22,564,16,2,4
22,172,17,2,2
22,342,18,2,2
22,349,19,2,4
22,137,20,2,2
23,455,1,0,0
23,191,2,0,1
