item_id,degree,scenario,alpha
0,38,low,0.0
1,19,low,0.0
2,35,low,0.0
3,28,low,0.0
4,28,low,0.0
5,34,low,0.0
6,21,low,0.0
7,41,low,0.0
8,31,low,0.0
9,29,low,0.0
10,28,low,0.0
11,31,low,0.0
12,29,low,0.0
13,27,low,0.0
14,32,low,0.0
15,42,low,0.0
16,37,low,0.0
17,28,low,0.0
18,30,low,0.0
19,22,low,0.0
20,28,low,0.0
21,22,low,0.0
22,31,low,0.0
23,31,low,0.0
24,28,low,0.0
25,27,low,0.0
26,25,low,0.0
27,33,low,0.0
28,22,low,0.0
29,38,low,0.0
30,31,low,0.0
31,28,low,0.0
32,36,low,0.0
33,22,low,0.0
34,27,low,0.0
35,30,low,0.0
36,39,low,0.0
37,31,low,0.0
38,24,low,0.0
39,26,low,0.0
40,36,low,0.0
41,35,low,0.0
42,28,low,0.0
43,32,low,0.0
44,30,low,0.0
45,36,low,0.0
46,31,low,0.0
47,31,low,0.0
48,25,low,0.0
49,25,low,0.0
50,29,low,0.0
51,29,low,0.0
52,33,low,0.0
53,22,low,0.0
54,18,low,0.0
55,27,low,0.0
56,29,low,0.0
57,32,low,0.0
58,26,low,0.0
59,21,low,0.0
60,26,low,0.0
61,21,low,0.0
62,32,low,0.0
63,26,low,0.0
64,39,low,0.0
65,32,low,0.0
66,34,low,0.0
67,33,low,0.0
68,25,low,0.0
69,38,low,0.0
70,26,low,0.0
71,33,low,0.0
72,26,low,0.0
73,23,low,0.0
74,33,low,0.0
75,35,low,0.0
76,35,low,0.0
77,27,low,0.0
78,24,low,0.0
79,30,low,0.0
80,23,low,0.0
81,29,low,0.0
82,24,low,0.0
83,32,low,0.0
84,34,low,0.0
85,27,low,0.0
86,40,low,0.0
87,30,low,0.0
88,35,low,0.0
89,35,low,0.0
90,24,low,0.0
91,28,low,0.0
92,41,low,0.0
93,40,low,0.0
94,39,low,0.0
95,34,low,0.0
96,30,low,0.0
97,28,low,0.0
98,40,low,0.0
99,25,low,0.0
100,27,low,0.0
101,21,low,0.0
102,34,low,0.0
103,44,low,0.0
104,33,low,0.0
105,28,low,0.0
106,30,low,0.0
107,34,low,0.0
108,25,low,0.0
109,26,low,0.0
110,29,low,0.0
111,29,low,0.0
112,35,low,0.0
113,31,low,0.0
114,24,low,0.0
115,23,low,0.0
116,34,low,0.0
117,24,low,0.0
118,36,low,0.0
119,30,low,0.0
120,34,low,0.0
121,38,low,0.0
122,28,low,0.0
123,27,low,0.0
124,23,low,0.0
125,30,low,0.0
126,33,low,0.0
127,26,low,0.0
128,32,low,0.0
129,32,low,0.0
130,36,low,0.0
131,30,low,0.0
132,30,low,0.0
133,37,low,0.0
134,39,low,0.0
135,33,low,0.0
136,30,low,0.0
137,41,low,0.0
138,34,low,0.0
139,22,low,0.0
140,34,low,0.0
141,35,low,0.0
142,28,low,0.0
143,31,low,0.0
144,38,low,0.0
145,29,low,0.0
146,28,low,0.0
147,34,low,0.0
148,26,low,0.0
149,33,low,0.0
150,39,low,0.0
151,21,low,0.0
152,35,low,0.0
153,27,low,0.0
154,30,low,0.0
155,21,low,0.0
156,35,low,0.0
157,36,low,0.0
158,31,low,0.0
159,29,low,0.0
160,28,low,0.0
161,37,low,0.0
162,28,low,0.0
163,38,low,0.0
164,25,low,0.0
165,31,low,0.0
166,31,low,0.0
167,23,low,0.0
168,33,low,0.0
169,33,low,0.0
170,26,low,0.0
171,30,low,0.0
172,23,low,0.0
173,26,low,0.0
174,30,low,0.0
175,35,low,0.0
176,36,low,0.0
177,29,low,0.0
178,36,low,0.0
179,25,low,0.0
180,36,low,0.0
181,34,low,0.0
182,30,low,0.0
183,25,low,0.0
184,35,low,0.0
185,27,low,0.0
186,30,low,0.0
187,35,low,0.0
188,16,low,0.0
189,34,low,0.0
190,26,low,0.0
191,46,low,0.0
192,29,low,0.0
193,35,low,0.0
194,33,low,0.0
195,30,low,0.0
196,29,low,0.0
197,23,low,0.0
198,27,low,0.0
199,29,low,0.0
200,33,low,0.0
201,26,low,0.0
202,29,low,0.0
203,27,low,0.0
204,35,low,0.0
205,30,low,0.0
206,24,low,0.0
207,33,low,0.0
208,31,low,0.0
209,39,low,0.0
210,32,low,0.0
211,27,low,0.0
212,28,low,0.0
213,24,low,0.0
214,29,low,0.0
215,38,low,0.0
216,31,low,0.0
217,27,low,0.0
218,26,low,0.0
219,33,low,0.0
220,25,low,0.0
221,30,low,0.0
222,29,low,0.0
223,36,low,0.0
224,27,low,0.0
225,24,low,0.0
226,32,low,0.0
227,29,low,0.0
228,31,low,0.0
229,37,low,0.0
230,22,low,0.0
231,29,low,0.0
232,23,low,0.0
233,35,low,0.0
234,31,low,0.0
235,31,low,0.0
236,32,low,0.0
237,31,low,0.0
238,25,low,0.0
239,21,low,0.0
240,28,low,0.0
241,34,low,0.0
242,27,low,0.0
243,38,low,0.0
244,31,low,0.0
245,33,low,0.0
246,30,low,0.0
247,25,low,0.0
248,28,low,0.0
249,40,low,0.0
250,26,low,0.0
251,33,low,0.0
252,28,low,0.0
253,34,low,0.0
254,33,low,0.0
255,32,low,0.0
256,29,low,0.0
257,33,low,0.0
258,22,low,0.0
259,26,low,0.0
260,35,low,0.0
261,33,low,0.0
262,30,low,0.0
263,33,low,0.0
264,26,low,0.0
265,26,low,0.0
266,26,low,0.0
267,22,low,0.0
268,24,low,0.0
269,28,low,0.0
270,39,low,0.0
271,35,low,0.0
272,37,low,0.0
273,25,low,0.0
274,36,low,0.0
275,29,low,0.0
276,28,low,0.0
277,35,low,0.0
278,29,low,0.0
279,18,low,0.0
280,26,low,0.0
281,19,low,0.0
282,36,low,0.0
283,32,low,0.0
284,32,low,0.0
285,33,low,0.0
286,22,low,0.0
287,31,low,0.0
288,33,low,0.0
289,33,low,0.0
290,28,low,0.0
291,18,low,0.0
292,37,low,0.0
293,32,low,0.0
294,31,low,0.0
