item_id,degree,scenario,alpha
0,25,medium,0.7
1,17,medium,0.7
2,49,medium,0.7
3,18,medium,0.7
4,23,medium,0.7
5,17,medium,0.7
6,28,medium,0.7
7,56,medium,0.7
8,25,medium,0.7
9,23,medium,0.7
10,28,medium,0.7
11,11,medium,0.7
12,17,medium,0.7
13,21,medium,0.7
14,31,medium,0.7
15,9,medium,0.7
16,18,medium,0.7
17,21,medium,0.7
18,10,medium,0.7
19,14,medium,0.7
20,15,medium,0.7
21,10,medium,0.7
22,65,medium,0.7
23,40,medium,0.7
24,12,medium,0.7
25,183,medium,0.7
26,12,medium,0.7
27,8,medium,0.7
28,27,medium,0.7
29,19,medium,0.7
30,27,medium,0.7
31,16,medium,0.7
32,18,medium,0.7
33,29,medium,0.7
34,28,medium,0.7
35,10,medium,0.7
36,57,medium,0.7
37,21,medium,0.7
38,19,medium,0.7
39,10,medium,0.7
40,18,medium,0.7
41,27,medium,0.7
42,29,medium,0.7
43,14,medium,0.7
44,7,medium,0.7
45,24,medium,0.7
46,7,medium,0.7
47,87,medium,0.7
48,24,medium,0.7
49,22,medium,0.7
50,12,medium,0.7
51,39,medium,0.7
52,21,medium,0.7
53,21,medium,0.7
54,13,medium,0.7
55,13,medium,0.7
56,13,medium,0.7
57,44,medium,0.7
58,12,medium,0.7
59,14,medium,0.7
60,19,medium,0.7
61,72,medium,0.7
62,20,medium,0.7
63,19,medium,0.7
64,13,medium,0.7
65,10,medium,0.7
66,18,medium,0.7
67,34,medium,0.7
68,14,medium,0.7
69,22,medium,0.7
70,23,medium,0.7
71,16,medium,0.7
72,70,medium,0.7
73,15,medium,0.7
74,18,medium,0.7
75,10,medium,0.7
76,15,medium,0.7
77,17,medium,0.7
78,54,medium,0.7
79,52,medium,0.7
80,53,medium,0.7
81,50,medium,0.7
82,10,medium,0.7
83,11,medium,0.7
84,22,medium,0.7
85,53,medium,0.7
86,22,medium,0.7
87,12,medium,0.7
88,9,medium,0.7
89,11,medium,0.7
90,16,medium,0.7
91,17,medium,0.7
92,8,medium,0.7
93,33,medium,0.7
94,16,medium,0.7
95,13,medium,0.7
96,29,medium,0.7
97,11,medium,0.7
98,10,medium,0.7
99,76,medium,0.7
100,43,medium,0.7
101,76,medium,0.7
102,25,medium,0.7
103,190,medium,0.7
104,252,medium,0.7
105,12,medium,0.7
106,15,medium,0.7
107,27,medium,0.7
108,19,medium,0.7
109,12,medium,0.7
110,51,medium,0.7
111,20,medium,0.7
112,40,medium,0.7
113,16,medium,0.7
114,14,medium,0.7
115,18,medium,0.7
116,61,medium,0.7
117,62,medium,0.7
118,8,medium,0.7
119,14,medium,0.7
120,10,medium,0.7
121,27,medium,0.7
122,15,medium,0.7
123,19,medium,0.7
124,27,medium,0.7
125,11,medium,0.7
126,13,medium,0.7
127,19,medium,0.7
128,20,medium,0.7
129,23,medium,0.7
130,46,medium,0.7
131,15,medium,0.7
132,23,medium,0.7
133,17,medium,0.7
134,18,medium,0.7
135,15,medium,0.7
136,15,medium,0.7
137,10,medium,0.7
138,18,medium,0.7
139,19,medium,0.7
140,14,medium,0.7
141,172,medium,0.7
142,20,medium,0.7
143,18,medium,0.7
144,14,medium,0.7
145,30,medium,0.7
146,28,medium,0.7
147,19,medium,0.7
148,17,medium,0.7
149,112,medium,0.7
150,74,medium,0.7
151,18,medium,0.7
152,63,medium,0.7
153,27,medium,0.7
154,12,medium,0.7
155,14,medium,0.7
156,27,medium,0.7
157,14,medium,0.7
158,78,medium,0.7
159,33,medium,0.7
160,76,medium,0.7
161,19,medium,0.7
162,27,medium,0.7
163,43,medium,0.7
164,197,medium,0.7
165,16,medium,0.7
166,35,medium,0.7
167,19,medium,0.7
168,18,medium,0.7
169,67,medium,0.7
170,115,medium,0.7
171,23,medium,0.7
172,16,medium,0.7
173,26,medium,0.7
174,40,medium,0.7
175,14,medium,0.7
176,15,medium,0.7
177,41,medium,0.7
178,50,medium,0.7
179,17,medium,0.7
180,20,medium,0.7
181,13,medium,0.7
182,17,medium,0.7
183,22,medium,0.7
184,23,medium,0.7
185,263,medium,0.7
186,21,medium,0.7
187,13,medium,0.7
188,19,medium,0.7
189,20,medium,0.7
190,17,medium,0.7
191,22,medium,0.7
192,26,medium,0.7
193,24,medium,0.7
194,20,medium,0.7
195,12,medium,0.7
196,53,medium,0.7
197,12,medium,0.7
198,8,medium,0.7
199,52,medium,0.7
200,9,medium,0.7
201,13,medium,0.7
202,11,medium,0.7
203,8,medium,0.7
204,34,medium,0.7
205,37,medium,0.7
206,276,medium,0.7
207,40,medium,0.7
208,15,medium,0.7
209,18,medium,0.7
210,17,medium,0.7
211,27,medium,0.7
212,21,medium,0.7
213,43,medium,0.7
214,21,medium,0.7
215,18,medium,0.7
216,18,medium,0.7
217,13,medium,0.7
218,8,medium,0.7
219,38,medium,0.7
220,33,medium,0.7
221,24,medium,0.7
222,33,medium,0.7
223,21,medium,0.7
224,30,medium,0.7
225,140,medium,0.7
226,11,medium,0.7
227,37,medium,0.7
228,37,medium,0.7
229,90,medium,0.7
230,32,medium,0.7
231,66,medium,0.7
232,13,medium,0.7
233,28,medium,0.7
234,10,medium,0.7
235,66,medium,0.7
236,18,medium,0.7
237,19,medium,0.7
238,18,medium,0.7
239,15,medium,0.7
240,16,medium,0.7
241,16,medium,0.7
242,136,medium,0.7
243,63,medium,0.7
244,16,medium,0.7
245,18,medium,0.7
246,31,medium,0.7
247,20,medium,0.7
248,35,medium,0.7
249,17,medium,0.7
250,14,medium,0.7
251,13,medium,0.7
252,28,medium,0.7
253,24,medium,0.7
254,12,medium,0.7
255,17,medium,0.7
256,15,medium,0.7
257,280,medium,0.7
258,13,medium,0.7
259,21,medium,0.7
260,23,medium,0.7
261,19,medium,0.7
262,14,medium,0.7
263,14,medium,0.7
264,39,medium,0.7
265,23,medium,0.7
266,26,medium,0.7
267,41,medium,0.7
268,26,medium,0.7
269,16,medium,0.7
