model,run,group_type,group,K,Recall,NDCG,n_test_cases
Popularity,deterministic,user_degree,low,10,0.05858085808580858,0.027980923445475495,1212
Popularity,deterministic,user_degree,low,20,0.09735973597359736,0.03763967722732051,1212
Popularity,deterministic,user_degree,medium,10,0.03709856035437431,0.017600794931907894,3612
Popularity,deterministic,user_degree,medium,20,0.07225913621262459,0.026379465109192195,3612
Popularity,deterministic,user_degree,high,10,0.028075970272502065,0.01344924754488387,1211
Popularity,deterministic,user_degree,high,20,0.0495458298926507,0.01885350366416969,1211
Popularity,deterministic,item_degree,low,10,0.0,0.0,91
Popularity,deterministic,item_degree,low,20,0.0,0.0,91
Popularity,deterministic,item_degree,medium,10,0.0,0.0,2105
Popularity,deterministic,item_degree,medium,20,0.0,0.0,2105
Popularity,deterministic,item_degree,high,10,0.06230448383733055,0.029659538395938996,3836
Popularity,deterministic,item_degree,high,20,0.11444212721584984,0.04268339669218565,3836
Popularity,deterministic,item_degree,unknown,10,0.0,0.0,3
Popularity,deterministic,item_degree,unknown,20,0.0,0.0,3
ItemCF,deterministic,user_degree,low,10,0.09653465346534654,0.05020326696343248,1212
ItemCF,deterministic,user_degree,low,20,0.1674917491749175,0.06786775428862349,1212
ItemCF,deterministic,user_degree,medium,10,0.054817275747508304,0.02637902667662568,3612
ItemCF,deterministic,user_degree,medium,20,0.09274640088593578,0.03596276068591739,3612
ItemCF,deterministic,user_degree,high,10,0.03550784475639967,0.015789488241043086,1211
ItemCF,deterministic,user_degree,high,20,0.05284888521882741,0.020047346302070043,1211
ItemCF,deterministic,item_degree,low,10,0.0,0.0,91
ItemCF,deterministic,item_degree,low,20,0.0,0.0,91
ItemCF,deterministic,item_degree,medium,10,0.0,0.0,2105
ItemCF,deterministic,item_degree,medium,20,0.0009501187648456057,0.00024243285454199004,2105
ItemCF,deterministic,item_degree,high,10,0.09332638164754953,0.04568521224597375,3836
ItemCF,deterministic,item_degree,high,20,0.15641293013555788,0.061501622786324615,3836
ItemCF,deterministic,item_degree,unknown,10,0.0,0.0,3
ItemCF,deterministic,item_degree,unknown,20,0.0,0.0,3
LightGCN,seed_42,user_degree,low,10,0.11386138613861387,0.05833989275763986,1212
LightGCN,seed_43,user_degree,low,10,0.12046204620462046,0.062217612489203274,1212
LightGCN,seed_44,user_degree,low,10,0.12623762376237624,0.06219510369801667,1212
LightGCN,seed_42,user_degree,low,20,0.2079207920792079,0.08206945691307296,1212
LightGCN,seed_43,user_degree,low,20,0.22524752475247525,0.08846660422860864,1212
LightGCN,seed_44,user_degree,low,20,0.22194719471947194,0.08644745379858348,1212
LightGCN,seed_42,user_degree,medium,10,0.07281284606866002,0.03530274724651001,3612
LightGCN,seed_43,user_degree,medium,10,0.07281284606866002,0.03647521588494262,3612
LightGCN,seed_44,user_degree,medium,10,0.07475083056478406,0.03564674392516335,3612
LightGCN,seed_42,user_degree,medium,20,0.12818383167220376,0.04919744374211743,3612
LightGCN,seed_43,user_degree,medium,20,0.12486157253599114,0.049606588493774494,3612
LightGCN,seed_44,user_degree,medium,20,0.12846068660022147,0.04910994144517401,3612
LightGCN,seed_42,user_degree,high,10,0.03303055326176713,0.014684767189528663,1211
LightGCN,seed_43,user_degree,high,10,0.0305532617671346,0.01404022154391162,1211
LightGCN,seed_44,user_degree,high,10,0.03220478943022296,0.014410462997496187,1211
LightGCN,seed_42,user_degree,high,20,0.06275805119735756,0.021995212679220996,1211
LightGCN,seed_43,user_degree,high,20,0.05037159372419488,0.01902649840715388,1211
LightGCN,seed_44,user_degree,high,20,0.06440957886044592,0.022426708486454935,1211
LightGCN,seed_42,item_degree,low,10,0.0,0.0,91
LightGCN,seed_43,item_degree,low,10,0.0,0.0,91
LightGCN,seed_44,item_degree,low,10,0.0,0.0,91
LightGCN,seed_42,item_degree,low,20,0.01098901098901099,0.0030653070950673613,91
LightGCN,seed_43,item_degree,low,20,0.0,0.0,91
LightGCN,seed_44,item_degree,low,20,0.01098901098901099,0.002886258626782347,91
LightGCN,seed_42,item_degree,medium,10,0.005700712589073635,0.0020435581537484714,2105
LightGCN,seed_43,item_degree,medium,10,0.007125890736342043,0.002923085243904535,2105
LightGCN,seed_44,item_degree,medium,10,0.005225653206650831,0.001786977847442622,2105
LightGCN,seed_42,item_degree,medium,20,0.0166270783847981,0.004735852886097566,2105
LightGCN,seed_43,item_degree,medium,20,0.019002375296912115,0.005931028020945222,2105
LightGCN,seed_44,item_degree,medium,20,0.015676959619952493,0.004384340567611842,2105
LightGCN,seed_42,item_degree,high,10,0.11183524504692388,0.05518848702542553,3836
LightGCN,seed_43,item_degree,high,10,0.11235662148070907,0.056831553692540414,3836
LightGCN,seed_44,item_degree,high,10,0.117570385818561,0.05678466815974645,3836
LightGCN,seed_42,item_degree,high,20,0.19681960375391033,0.07652701716861907,3836
LightGCN,seed_43,item_degree,high,20,0.19421272158498437,0.07741313804785213,3836
LightGCN,seed_44,item_degree,high,20,0.20255474452554745,0.07816123046170191,3836
LightGCN,seed_42,item_degree,unknown,10,0.0,0.0,3
LightGCN,seed_43,item_degree,unknown,10,0.0,0.0,3
LightGCN,seed_44,item_degree,unknown,10,0.0,0.0,3
LightGCN,seed_42,item_degree,unknown,20,0.0,0.0,3
LightGCN,seed_43,item_degree,unknown,20,0.0,0.0,3
LightGCN,seed_44,item_degree,unknown,20,0.0,0.0,3
