model,group_type,group,K,recall_mean,recall_std,ndcg_mean,ndcg_std,n_runs,n_test_cases
Popularity,user_degree,low,10,0.05858085808580858,,0.027980923445475495,,1,1212
Popularity,user_degree,low,20,0.09735973597359736,,0.03763967722732051,,1,1212
Popularity,user_degree,medium,10,0.03709856035437431,,0.017600794931907894,,1,3612
Popularity,user_degree,medium,20,0.07225913621262459,,0.026379465109192195,,1,3612
Popularity,user_degree,high,10,0.028075970272502065,,0.01344924754488387,,1,1211
Popularity,user_degree,high,20,0.0495458298926507,,0.01885350366416969,,1,1211
Popularity,item_degree,low,10,0.0,,0.0,,1,91
Popularity,item_degree,low,20,0.0,,0.0,,1,91
Popularity,item_degree,medium,10,0.0,,0.0,,1,2105
Popularity,item_degree,medium,20,0.0,,0.0,,1,2105
Popularity,item_degree,high,10,0.06230448383733055,,0.029659538395938996,,1,3836
Popularity,item_degree,high,20,0.11444212721584984,,0.04268339669218565,,1,3836
Popularity,item_degree,unknown,10,0.0,,0.0,,1,3
Popularity,item_degree,unknown,20,0.0,,0.0,,1,3
ItemCF,user_degree,low,10,0.09653465346534654,,0.05020326696343248,,1,1212
ItemCF,user_degree,low,20,0.1674917491749175,,0.06786775428862349,,1,1212
ItemCF,user_degree,medium,10,0.054817275747508304,,0.02637902667662568,,1,3612
ItemCF,user_degree,medium,20,0.09274640088593578,,0.03596276068591739,,1,3612
ItemCF,user_degree,high,10,0.03550784475639967,,0.015789488241043086,,1,1211
ItemCF,user_degree,high,20,0.05284888521882741,,0.020047346302070043,,1,1211
ItemCF,item_degree,low,10,0.0,,0.0,,1,91
ItemCF,item_degree,low,20,0.0,,0.0,,1,91
ItemCF,item_degree,medium,10,0.0,,0.0,,1,2105
ItemCF,item_degree,medium,20,0.0009501187648456057,,0.00024243285454199004,,1,2105
ItemCF,item_degree,high,10,0.09332638164754953,,0.04568521224597375,,1,3836
ItemCF,item_degree,high,20,0.15641293013555788,,0.061501622786324615,,1,3836
ItemCF,item_degree,unknown,10,0.0,,0.0,,1,3
ItemCF,item_degree,unknown,20,0.0,,0.0,,1,3
LightGCN,user_degree,low,10,0.1201870187018702,0.006192700907149448,0.06091753631495326,0.002232333172454249,3,1212
LightGCN,user_degree,low,20,0.21837183718371836,0.00920007078310107,0.08566117164675502,0.0032702527671235604,3,1212
LightGCN,user_degree,medium,10,0.07345884090070137,0.0011188958705225305,0.035808235685538654,0.0006026859617817898,3,3612
LightGCN,user_degree,medium,20,0.12716869693613878,0.0020028178676827846,0.049304657893688646,0.0002651145572082818,3,3612
LightGCN,user_degree,high,10,0.031929534819708234,0.0012613750880693187,0.014378483910312156,0.0003234606140379623,3,1211
LightGCN,user_degree,high,20,0.059179741260666115,0.007672645122359682,0.021149473190943274,0.001851165472714237,3,1211
LightGCN,item_degree,low,10,0.0,0.0,0.0,0.0,3,91
LightGCN,item_degree,low,20,0.007326007326007327,0.006344508452633251,0.0019838552406165693,0.0017203998954574986,3,91
LightGCN,item_degree,medium,10,0.006017418844022169,0.000988914964116928,0.002251207081698543,0.000595838536881408,3,2105
LightGCN,item_degree,medium,20,0.0171021377672209,0.0017128509622156725,0.005017073824884876,0.0008107863046968891,3,2105
LightGCN,item_degree,high,10,0.11392075078206465,0.0031714090356090782,0.0562682362925708,0.0009353841046446611,3,3836
LightGCN,item_degree,high,20,0.1978623566214807,0.004267650037472597,0.07736712855939104,0.000818077579813495,3,3836
LightGCN,item_degree,unknown,10,0.0,0.0,0.0,0.0,3,3
LightGCN,item_degree,unknown,20,0.0,0.0,0.0,0.0,3,3
