model,group_type,group,K,recall_mean,recall_std,ndcg_mean,ndcg_std,n_runs,n_test_cases
Popularity,item_degree,low,10,0.0,,0.0,,1,91
Popularity,item_degree,low,20,0.0,,0.0,,1,91
Popularity,item_degree,medium,10,0.0,,0.0,,1,2105
Popularity,item_degree,medium,20,0.0,,0.0,,1,2105
Popularity,item_degree,high,10,0.06230448383733055,,0.029659538395938996,,1,3836
Popularity,item_degree,high,20,0.11444212721584984,,0.04268339669218565,,1,3836
Popularity,item_degree,unknown,10,0.0,,0.0,,1,3
Popularity,item_degree,unknown,20,0.0,,0.0,,1,3
ItemCF,item_degree,low,10,0.0,,0.0,,1,91
ItemCF,item_degree,low,20,0.0,,0.0,,1,91
ItemCF,item_degree,medium,10,0.0,,0.0,,1,2105
ItemCF,item_degree,medium,20,0.0009501187648456057,,0.00024243285454199004,,1,2105
ItemCF,item_degree,high,10,0.09332638164754953,,0.04568521224597375,,1,3836
ItemCF,item_degree,high,20,0.15641293013555788,,0.061501622786324615,,1,3836
ItemCF,item_degree,unknown,10,0.0,,0.0,,1,3
ItemCF,item_degree,unknown,20,0.0,,0.0,,1,3
LightGCN,item_degree,low,10,0.0,0.0,0.0,0.0,3,91
LightGCN,item_degree,low,20,0.007326007326007327,0.006344508452633251,0.0019838552406165693,0.0017203998954574986,3,91
LightGCN,item_degree,medium,10,0.006017418844022169,0.000988914964116928,0.002251207081698543,0.000595838536881408,3,2105
LightGCN,item_degree,medium,20,0.0171021377672209,0.0017128509622156725,0.005017073824884876,0.0008107863046968891,3,2105
LightGCN,item_degree,high,10,0.11392075078206465,0.0031714090356090782,0.0562682362925708,0.0009353841046446611,3,3836
LightGCN,item_degree,high,20,0.1978623566214807,0.004267650037472597,0.07736712855939104,0.000818077579813495,3,3836
LightGCN,item_degree,unknown,10,0.0,0.0,0.0,0.0,3,3
LightGCN,item_degree,unknown,20,0.0,0.0,0.0,0.0,3,3
