dataset,model,run,seed,item_group,K,Recall,NDCG,n
Amazon Beauty 3-core warm-start,LightGCN,seed_42,42,tail,10,0.08955223880597014,0.062415732642272535,67
Amazon Beauty 3-core warm-start,LightGCN,seed_42,42,medium,10,0.700381679389313,0.30481606253769516,524
Amazon Beauty 3-core warm-start,LightGCN,seed_42,42,head,10,0.6620795107033639,0.3227877944242545,654
Amazon Beauty 3-core warm-start,LightGCN,seed_42,42,tail,20,0.13432835820895522,0.07395260866985587,67
Amazon Beauty 3-core warm-start,LightGCN,seed_42,42,medium,20,0.7423664122137404,0.3156192607352967,524
Amazon Beauty 3-core warm-start,LightGCN,seed_42,42,head,20,0.7201834862385321,0.33762469309198784,654
Amazon Beauty 3-core warm-start,LightGCN,seed_43,43,tail,10,0.08955223880597014,0.05756794548685318,67
Amazon Beauty 3-core warm-start,LightGCN,seed_43,43,medium,10,0.6927480916030534,0.2898274671202918,524
Amazon Beauty 3-core warm-start,LightGCN,seed_43,43,head,10,0.6559633027522935,0.2848416287824856,654
Amazon Beauty 3-core warm-start,LightGCN,seed_43,43,tail,20,0.1791044776119403,0.0806845759639345,67
Amazon Beauty 3-core warm-start,LightGCN,seed_43,43,medium,20,0.7576335877862596,0.30562611846177556,524
Amazon Beauty 3-core warm-start,LightGCN,seed_43,43,head,20,0.6987767584097859,0.29581674018689763,654
Amazon Beauty 3-core warm-start,LightGCN,seed_44,44,tail,10,0.07462686567164178,0.056147156823028586,67
Amazon Beauty 3-core warm-start,LightGCN,seed_44,44,medium,10,0.7022900763358778,0.305892934501363,524
Amazon Beauty 3-core warm-start,LightGCN,seed_44,44,head,10,0.7003058103975535,0.32962623772074223,654
Amazon Beauty 3-core warm-start,LightGCN,seed_44,44,tail,20,0.13432835820895522,0.07136003338101779,67
Amazon Beauty 3-core warm-start,LightGCN,seed_44,44,medium,20,0.7366412213740458,0.3148712498711481,524
Amazon Beauty 3-core warm-start,LightGCN,seed_44,44,head,20,0.7385321100917431,0.33935158216464834,654
