dataset,quantity,dot_product,cosine_normalized,cosine_minus_dot
Amazon Beauty warm-start,Head Recall@20,0.7191641182466871,0.6748216106014272,-0.04434250764525993
Amazon Beauty warm-start,Head-tail Recall@20 gap,0.5699103869034036,0.48576688423326786,-0.0841435026701357
Amazon Beauty warm-start,Medium Recall@20,0.7455470737913487,0.7595419847328245,0.013994910941475869
Amazon Beauty warm-start,Overall Recall@20,0.6995983935742972,0.6843373493975905,-0.015261044176706706
Amazon Beauty warm-start,Tail Recall@20,0.14925373134328357,0.1890547263681592,0.039800995024875635
MovieLens-1M,Head Recall@20,0.1978623566214807,0.1297358359402155,-0.06812652068126518
MovieLens-1M,Head-tail Recall@20 gap,0.1905363492954734,0.11874682495120452,-0.07178952434426887
MovieLens-1M,Medium Recall@20,0.0171021377672209,0.06856690419635787,0.05146476642913697
MovieLens-1M,Overall Recall@20,0.13184203258768296,0.10654515327257663,-0.025296879315106324
MovieLens-1M,Tail Recall@20,0.007326007326007327,0.01098901098901099,0.003663003663003663
