dataset,scoring,seed,K,head_tail_gap,head_recall,tail_recall,head_n,tail_n
Amazon Beauty warm-start,cosine_normalized,42,20,0.5009585102012871,0.6651376146788991,0.16417910447761194,654,67
Amazon Beauty warm-start,cosine_normalized,43,20,0.42327354055411015,0.6620795107033639,0.23880597014925373,654,67
Amazon Beauty warm-start,cosine_normalized,44,20,0.5330686019444064,0.6972477064220184,0.16417910447761194,654,67
Amazon Beauty warm-start,dot_product,42,20,0.585855128029577,0.7201834862385321,0.13432835820895522,654,67
Amazon Beauty warm-start,dot_product,43,20,0.5196722807978457,0.6987767584097859,0.1791044776119403,654,67
Amazon Beauty warm-start,dot_product,44,20,0.6042037518827879,0.7385321100917431,0.13432835820895522,654,67
MovieLens-1M,cosine_normalized,42,20,0.11726959172214647,0.12825860271115747,0.01098901098901099,3836,91
MovieLens-1M,cosine_normalized,43,20,0.1159661506376835,0.12695516162669448,0.01098901098901099,3836,91
MovieLens-1M,cosine_normalized,44,20,0.12300473249378359,0.13399374348279458,0.01098901098901099,3836,91
MovieLens-1M,dot_product,42,20,0.18583059276489935,0.19681960375391033,0.01098901098901099,3836,91
MovieLens-1M,dot_product,43,20,0.19421272158498437,0.19421272158498437,0.0,3836,91
MovieLens-1M,dot_product,44,20,0.19156573353653647,0.20255474452554745,0.01098901098901099,3836,91
