dataset,scoring,item_group,K,recall_mean,recall_std,ndcg_mean,ndcg_std,n_mean,n_seeds
Amazon Beauty warm-start,cosine_normalized,head,20,0.6748216106014272,0.019481666517447954,0.27147886727333,0.029793859281159015,654.0,3
Amazon Beauty warm-start,cosine_normalized,medium,20,0.7595419847328245,0.006610880944919358,0.4504639042912442,0.002290401445886209,524.0,3
Amazon Beauty warm-start,cosine_normalized,tail,20,0.1890547263681592,0.043085840984300426,0.10988368604768296,0.015547068198548187,67.0,3
Amazon Beauty warm-start,dot_product,head,20,0.7191641182466871,0.01989726941482483,0.3242643384811779,0.024651468982636177,654.0,3
Amazon Beauty warm-start,dot_product,medium,20,0.7455470737913487,0.010851604395185756,0.31203887635607347,0.0055661906113051015,524.0,3
Amazon Beauty warm-start,dot_product,tail,20,0.14925373134328357,0.025851504590580252,0.07533240600493606,0.004812967287399482,67.0,3
MovieLens-1M,cosine_normalized,head,20,0.1297358359402155,0.0037446057397315315,0.04999899491228577,0.0007987343830697624,3836.0,3
MovieLens-1M,cosine_normalized,medium,20,0.06856690419635787,0.0030542045165456717,0.023531971359405268,0.0009549151475465041,2105.0,3
MovieLens-1M,cosine_normalized,tail,20,0.01098901098901099,0.0,0.0032697659199217646,0.0006645531420784995,91.0,3
MovieLens-1M,cosine_normalized,unknown,20,0.0,0.0,0.0,0.0,3.0,3
MovieLens-1M,dot_product,head,20,0.1978623566214807,0.004267650037472597,0.07736712855939104,0.000818077579813495,3836.0,3
MovieLens-1M,dot_product,medium,20,0.0171021377672209,0.0017128509622156725,0.005017073824884876,0.0008107863046968891,2105.0,3
MovieLens-1M,dot_product,tail,20,0.007326007326007327,0.006344508452633251,0.0019838552406165693,0.0017203998954574986,91.0,3
MovieLens-1M,dot_product,unknown,20,0.0,0.0,0.0,0.0,3.0,3
