dataset,scoring,seed,K,Recall,NDCG,n
Amazon Beauty warm-start,cosine_normalized,42,20,0.6763052208835342,0.3479438612226421,1245
Amazon Beauty warm-start,cosine_normalized,43,20,0.6835341365461848,0.3218706783459597,1245
Amazon Beauty warm-start,cosine_normalized,44,20,0.6931726907630522,0.3445287664809513,1245
Amazon Beauty warm-start,dot_product,42,20,0.697991967871486,0.31417338689826174,1245
Amazon Beauty warm-start,dot_product,43,20,0.695582329317269,0.28836795240625307,1245
Amazon Beauty warm-start,dot_product,44,20,0.7052208835341366,0.31462617823669864,1245
MovieLens-1M,cosine_normalized,42,20,0.1060480530240265,0.04008940475348653,6035
MovieLens-1M,cosine_normalized,43,20,0.1035625517812759,0.039501473635603,6035
MovieLens-1M,cosine_normalized,44,20,0.11002485501242751,0.04052270548520503,6035
MovieLens-1M,dot_product,42,20,0.13106876553438276,0.05034060499249531,6035
MovieLens-1M,dot_product,43,20,0.1300745650372825,0.051274500668707625,6035
MovieLens-1M,dot_product,44,20,0.1343827671913836,0.0512540458129161,6035
