dataset,node_type,replication_type,replication_value,n_nodes,pearson,spearman,alpha
MovieLens-1M,user,optimisation_seed,42,6035,0.5539146545252569,0.600556318064308,
MovieLens-1M,item,optimisation_seed,42,3525,0.653919357583443,0.2743804959141656,
MovieLens-1M,user,optimisation_seed,43,6035,0.5522383670036727,0.6088114957521408,
MovieLens-1M,item,optimisation_seed,43,3525,0.6551086393617631,0.27869656772996615,
MovieLens-1M,user,optimisation_seed,44,6035,0.5434189336685423,0.6014472726248539,
MovieLens-1M,item,optimisation_seed,44,3525,0.6548820079569655,0.2787573347708659,
Amazon Beauty,item,optimisation_seed,42,164,0.8637708919599587,0.8948893136040469,
Amazon Beauty,item,optimisation_seed,43,164,0.865124993298866,0.8998663085520661,
Amazon Beauty,item,optimisation_seed,44,164,0.8669038148604294,0.899038416505634,
Simulation low,item,graph_generation_seed,40,600,0.7119384508227561,0.6945061785916927,0.0
Simulation low,item,graph_generation_seed,41,600,0.6866165801599935,0.6840084251947505,0.0
Simulation low,item,graph_generation_seed,42,600,0.7206399382309474,0.6995823329176544,0.0
Simulation low,item,graph_generation_seed,43,600,0.694005935272402,0.6786045963560307,0.0
Simulation low,item,graph_generation_seed,44,600,0.7138767116782884,0.696718147479548,0.0
Simulation medium,item,graph_generation_seed,40,600,0.9055905504165084,0.8894398390527123,0.7
Simulation medium,item,graph_generation_seed,41,600,0.9151231077531712,0.9032407716112644,0.7
Simulation medium,item,graph_generation_seed,42,600,0.9163312619264306,0.8757661980318151,0.7
Simulation medium,item,graph_generation_seed,43,600,0.9201344590979672,0.8900763066739581,0.7
Simulation medium,item,graph_generation_seed,44,600,0.9065879932675308,0.8822820298614807,0.7
Simulation high,item,graph_generation_seed,40,600,0.8747465551343044,0.8801368678591502,1.3
Simulation high,item,graph_generation_seed,41,600,0.873691822287083,0.8619495018647836,1.3
Simulation high,item,graph_generation_seed,42,600,0.8753042588545052,0.878609430152166,1.3
Simulation high,item,graph_generation_seed,43,600,0.8706073256135299,0.8776217772058698,1.3
Simulation high,item,graph_generation_seed,44,600,0.8718494444377201,0.8661532648626166,1.3
