log1p_degree,embedding_norm_mean,n_items,dataset
0.6931471805599453,3.5729218,157,MovieLens-1M
1.2232745200638815,3.3487563,180,MovieLens-1M
1.6094379124341003,3.196249,75,MovieLens-1M
1.9390026878423967,3.063964,200,MovieLens-1M
2.3361975589792423,2.9480712,237,MovieLens-1M
2.693765836714854,2.9751883,213,MovieLens-1M
3.0568345352214656,2.8219948,253,MovieLens-1M
3.415185276259352,2.8290582,251,MovieLens-1M
3.7851444422913976,2.8505707,241,MovieLens-1M
4.137090658096989,2.856803,230,MovieLens-1M
4.495662520999912,2.9303315,245,MovieLens-1M
4.859058073219166,3.0343251,261,MovieLens-1M
5.217480879931284,3.1638744,236,MovieLens-1M
5.5892912348043415,3.3214006,223,MovieLens-1M
5.942169472543261,3.4963973,178,MovieLens-1M
6.296581298075712,3.7021923,153,MovieLens-1M
6.6575023058802865,3.919999,98,MovieLens-1M
6.991969854468706,4.2052913,54,MovieLens-1M
7.383979794725393,4.585637,26,MovieLens-1M
7.697424181614642,4.9579897,14,MovieLens-1M
0.8987351226992963,1.2443737,71,Amazon Beauty
1.5387933191620706,1.6690959,50,Amazon Beauty
2.125229888541165,1.991299,25,Amazon Beauty
2.5927569056533963,2.3042414,8,Amazon Beauty
3.23969460984595,3.1709225,3,Amazon Beauty
3.6888794541139363,3.5493,1,Amazon Beauty
5.007335540748372,4.498831,2,Amazon Beauty
6.23059350650091,6.5842085,4,Amazon Beauty
