item_idx,degree,degree_group,embedding_norm_mean,embedding_norm_std,dataset,log1p_degree
0,1630,high,4.625383,0.006397988,MovieLens-1M,7.396948602621014
1,275,high,3.2413943,0.04056866,MovieLens-1M,5.62040086571715
2,134,medium,3.0546188,0.08906145,MovieLens-1M,4.90527477843843
3,36,medium,2.7076137,0.123659715,MovieLens-1M,3.6109179126442243
4,94,medium,3.0659573,0.049265128,MovieLens-1M,4.553876891600541
5,642,high,3.8320522,0.02329718,MovieLens-1M,6.466144724237619
6,207,medium,3.1668282,0.07497626,MovieLens-1M,5.337538079701318
7,19,medium,2.6269734,0.045001816,MovieLens-1M,2.995732273553991
8,24,medium,3.282589,0.06904846,MovieLens-1M,3.2188758248682006
9,480,high,3.6167154,0.034290385,MovieLens-1M,6.175867270105761
10,689,high,3.8071945,0.033763956,MovieLens-1M,6.536691597591305
11,27,medium,2.7947712,0.09397013,MovieLens-1M,3.332204510175204
12,43,medium,3.0278976,0.057512984,MovieLens-1M,3.784189633918261
13,85,medium,2.585034,0.047424793,MovieLens-1M,4.454347296253507
14,29,medium,2.7418804,0.16562264,MovieLens-1M,3.4011973816621555
15,433,high,3.440611,0.04867371,MovieLens-1M,6.073044534100405
16,622,high,3.975735,0.07184679,MovieLens-1M,6.434546518787453
17,67,medium,2.631501,0.14342591,MovieLens-1M,4.219507705176107
18,71,medium,3.3000832,0.0465865,MovieLens-1M,4.276666119016055
19,19,medium,2.8359125,0.0724839,MovieLens-1M,2.995732273553991
20,773,high,3.815644,0.05578388,MovieLens-1M,6.651571873589727
21,173,medium,2.987593,0.070868336,MovieLens-1M,5.159055299214529
22,33,medium,2.5369022,0.053527933,MovieLens-1M,3.5263605246161616
23,247,high,3.545393,0.05497071,MovieLens-1M,5.5134287461649825
24,597,high,3.4705772,0.01946539,MovieLens-1M,6.393590753950631
25,55,medium,2.3954258,0.06985195,MovieLens-1M,4.02535169073515
26,16,medium,2.9417999,0.07289176,MovieLens-1M,2.833213344056216
27,133,medium,3.4347389,0.07104249,MovieLens-1M,4.897839799950911
28,299,high,3.4931095,0.04424099,MovieLens-1M,5.703782474656201
29,38,medium,2.6265965,0.037846457,MovieLens-1M,3.6635616461296463
30,44,medium,2.5651157,0.05319333,MovieLens-1M,3.8066624897703196
31,1065,high,4.154951,0.047828022,MovieLens-1M,6.97166860472579
32,1,low,2.7762804,0.021071568,MovieLens-1M,0.6931471805599453
33,1211,high,4.1651726,0.11527634,MovieLens-1M,7.10002716662926
34,28,medium,2.7737052,0.13537142,MovieLens-1M,3.367295829986474
35,658,high,3.705532,0.022418378,MovieLens-1M,6.490723534502507
36,5,low,2.8936627,0.33220702,MovieLens-1M,1.791759469228055
37,9,low,3.524436,0.055882443,MovieLens-1M,2.302585092994046
38,809,high,3.9096012,0.07597307,MovieLens-1M,6.697034247666484
39,24,medium,2.6873894,0.019276602,MovieLens-1M,3.2188758248682006
40,188,medium,2.9757347,0.04634053,MovieLens-1M,5.241747015059643
41,56,medium,2.956115,0.09720034,MovieLens-1M,4.04305126783455
42,82,medium,2.8841126,0.05496775,MovieLens-1M,4.418840607796598
43,76,medium,2.8155158,0.03719473,MovieLens-1M,4.343805421853684
44,271,high,3.0648165,0.036577325,MovieLens-1M,5.605802066295998
45,54,medium,2.7573493,0.07334244,MovieLens-1M,4.007333185232471
46,881,high,4.0882115,0.061553206,MovieLens-1M,6.782192056006791
47,121,medium,3.2362,0.023004683,MovieLens-1M,4.804021044733257
48,16,medium,2.9196901,0.17385039,MovieLens-1M,2.833213344056216
49,1587,high,4.458856,0.019982975,MovieLens-1M,7.370230641807081
50,256,high,2.9499302,0.032413915,MovieLens-1M,5.54907608489522
51,8,low,3.3594997,0.11289338,MovieLens-1M,2.1972245773362196
52,8,low,3.7325327,0.089545846,MovieLens-1M,2.1972245773362196
53,19,medium,2.959016,0.05440057,MovieLens-1M,2.995732273553991
54,2,low,3.6027348,0.13813509,MovieLens-1M,1.0986122886681098
55,46,medium,2.5881522,0.16716535,MovieLens-1M,3.8501476017100584
56,378,high,3.3557913,0.07079412,MovieLens-1M,5.937536205082426
