dataset,evaluation,alpha,group,n,n_std
MovieLens-1M,Temporal leave-one-out test set,,Tail,91.0,
MovieLens-1M,Temporal leave-one-out test set,,Medium,2105.0,
MovieLens-1M,Temporal leave-one-out test set,,Head,3836.0,
Amazon Beauty,Warm-start test subset,,Tail,67.0,
Amazon Beauty,Warm-start test subset,,Medium,524.0,
Amazon Beauty,Warm-start test subset,,Head,654.0,
Simulation low,"Main graph realisation, graph seed 42",0.0,Tail,259.0,
Simulation low,"Main graph realisation, graph seed 42",0.0,Medium,551.0,
Simulation low,"Main graph realisation, graph seed 42",0.0,Head,190.0,
Simulation medium,"Main graph realisation, graph seed 42",0.7,Tail,79.0,
Simulation medium,"Main graph realisation, graph seed 42",0.7,Medium,390.0,
Simulation medium,"Main graph realisation, graph seed 42",0.7,Head,531.0,
Simulation high,"Main graph realisation, graph seed 42",1.3,Tail,29.0,
Simulation high,"Main graph realisation, graph seed 42",1.3,Medium,175.0,
Simulation high,"Main graph realisation, graph seed 42",1.3,Head,796.0,
Simulation low,Mean across graph-generation seeds 40-44,0.0,Tail,243.6,19.59081417399491
Simulation low,Mean across graph-generation seeds 40-44,0.0,Medium,536.0,30.78960863668132
Simulation low,Mean across graph-generation seeds 40-44,0.0,Head,220.4,29.979993328885183
Simulation medium,Mean across graph-generation seeds 40-44,0.7,Tail,103.8,17.739785793520735
Simulation medium,Mean across graph-generation seeds 40-44,0.7,Medium,391.8,10.940749517286283
Simulation medium,Mean across graph-generation seeds 40-44,0.7,Head,504.4,21.57081361469706
Simulation high,Mean across graph-generation seeds 40-44,1.3,Tail,33.6,5.594640292279746
Simulation high,Mean across graph-generation seeds 40-44,1.3,Medium,177.0,11.423659658795865
Simulation high,Mean across graph-generation seeds 40-44,1.3,Head,789.4,13.390294993016411
