item_idx,embedding_norm,degree,degree_group
0,3.9855714,1630.0,high
1,2.3930182,275.0,high
2,1.9119809,134.0,medium
3,1.2936612,36.0,medium
4,1.9563934,94.0,medium
5,3.0576184,642.0,high
6,2.419353,207.0,medium
7,0.9060662,19.0,medium
8,1.6821145,24.0,medium
9,2.8163342,480.0,high
10,3.344371,689.0,high
11,1.1772938,27.0,medium
12,1.205292,43.0,medium
13,1.4023752,85.0,medium
14,1.2940446,29.0,medium
15,2.5737371,433.0,high
16,3.2941232,622.0,high
17,1.5005106,67.0,medium
18,1.7049873,71.0,medium
19,1.2352228,19.0,medium
20,2.9849002,773.0,high
21,1.8609082,173.0,medium
22,1.1797701,33.0,medium
23,2.2077885,247.0,high
24,2.9519432,597.0,high
25,1.1426327,55.0,medium
26,1.3599557,16.0,medium
27,1.9372873,133.0,medium
28,2.4464054,299.0,high
29,1.4215491,38.0,medium
30,1.4281666,44.0,medium
31,3.4843502,1065.0,high
32,1.6857231,1.0,low
33,3.5941207,1211.0,high
34,1.1968548,28.0,medium
35,3.067898,658.0,high
36,0.91424763,5.0,low
37,2.1389568,9.0,low
38,3.3445446,809.0,high
39,1.0386251,24.0,medium
40,1.9865468,188.0,medium
41,1.3238235,56.0,medium
42,1.5698075,82.0,medium
43,1.8573946,76.0,medium
44,2.2461357,271.0,high
45,1.6929436,54.0,medium
46,3.2898948,881.0,high
47,1.9631134,121.0,medium
48,1.2045395,16.0,medium
49,4.033848,1587.0,high
50,2.2179296,256.0,high
51,1.6110646,8.0,low
52,2.0251536,8.0,low
53,1.2365421,19.0,medium
54,2.1331346,2.0,low
55,1.2172381,46.0,medium
56,2.7598968,378.0,high
57,1.9339877,2.0,low
58,1.7286075,139.0,medium
59,1.2464681,19.0,medium
60,2.4651048,343.0,high
61,1.4163212,33.0,medium
62,1.7150104,5.0,low
63,1.3748274,18.0,medium
64,1.2100434,5.0,low
65,1.7451133,2.0,low
66,0.9385243,31.0,medium
67,2.0857303,186.0,medium
68,2.8101978,377.0,high
69,1.7439326,11.0,medium
70,1.484444,57.0,medium
71,1.8171237,147.0,medium
72,1.6858611,40.0,medium
73,2.0796454,1.0,low
74,1.3439692,44.0,medium
75,1.0124608,21.0,medium
76,0.9380053,23.0,medium
77,0.9400216,21.0,medium
78,1.6487026,35.0,medium
79,1.2893366,70.0,medium
80,1.5131173,57.0,medium
81,1.0207171,19.0,medium
82,1.8574307,6.0,low
83,1.7449188,98.0,medium
84,1.4716076,91.0,medium
85,1.7421635,6.0,low
86,1.8507514,55.0,medium
87,1.4280933,73.0,medium
88,1.50687,4.0,low
89,0.86002785,9.0,low
90,1.2066265,9.0,low
91,1.6321944,106.0,medium
92,2.2046795,180.0,medium
93,1.0395921,10.0,medium
94,1.4480939,32.0,medium
95,1.1658812,27.0,medium
96,0.9502529,38.0,medium
97,2.0933251,170.0,medium
98,1.6350081,4.0,low
99,0.94157016,13.0,medium
100,2.6604805,388.0,high
101,2.0934207,159.0,medium
102,1.7549744,8.0,low
103,1.8131236,104.0,medium
104,1.5069818,3.0,low
105,4.246146,1951.0,high
106,3.5198643,993.0,high
107,2.4470835,287.0,high
108,1.0975409,12.0,medium
109,1.4984047,3.0,low
110,1.1251154,33.0,medium
111,1.1551667,45.0,medium
112,1.0715758,23.0,medium
113,1.474127,2.0,low
114,1.0902815,30.0,medium
115,1.0549147,42.0,medium
116,1.6254318,81.0,medium
117,1.3245627,5.0,low
118,2.1841216,214.0,medium
119,1.0442894,13.0,medium
120,1.574068,10.0,medium
121,0.6821208,7.0,low
122,2.1381912,1.0,low
123,1.2509955,4.0,low
124,0.99539065,13.0,medium
125,1.9223709,1.0,low
126,1.4860774,37.0,medium
127,1.5348184,5.0,low
