n_layers,seed,node_type,degree_norm_correlation
0,42,user,0.6458722136740451
0,42,item,-0.46724721242287703
0,43,user,0.6382091070978053
0,43,item,-0.46520710571770924
0,44,user,0.6388503820457194
0,44,item,-0.4655390886116951
1,42,user,0.6489118199137404
1,42,item,0.8432332044118247
1,43,user,0.6434003946233159
1,43,item,0.8473082349513309
1,44,user,0.6421606668069013
1,44,item,0.8401240433587287
2,42,user,0.5539146545252595
2,42,item,0.6539193575834439
2,43,user,0.552238367003672
2,43,item,0.6551086393617647
2,44,user,0.5434189336685428
2,44,item,0.6548820079569642
