n_layers,seed,group,K,Recall,NDCG,n_test_cases
0,42,high,10,0.102711157455683,0.049636134079666744,3836
0,42,high,20,0.18013555787278415,0.06903247334387307,3836
0,42,low,10,0.0,0.0,91
0,42,low,20,0.0,0.0,91
0,42,medium,10,0.009501187648456057,0.004271948536199402,2105
0,42,medium,20,0.025653206650831355,0.008248232947700261,2105
0,42,unknown,10,0.0,0.0,3
0,42,unknown,20,0.0,0.0,3
0,43,high,10,0.1029718456725756,0.0502537819107685,3836
0,43,high,20,0.18091762252346194,0.06983815645806168,3836
0,43,low,10,0.0,0.0,91
0,43,low,20,0.01098901098901099,0.00254261772703032,91
0,43,medium,10,0.012351543942992874,0.004955873269920412,2105
0,43,medium,20,0.030403800475059382,0.009553799006780937,2105
0,43,unknown,10,0.0,0.0,3
0,43,unknown,20,0.0,0.0,3
0,44,high,10,0.1032325338894682,0.05121717234112,3836
0,44,high,20,0.1830031282586027,0.0711686948936392,3836
0,44,low,10,0.0,0.0,91
0,44,low,20,0.01098901098901099,0.0025869111358971237,91
0,44,medium,10,0.009026128266033254,0.0034809704131001933,2105
0,44,medium,20,0.02280285035629454,0.006942669552455634,2105
0,44,unknown,10,0.0,0.0,3
0,44,unknown,20,0.0,0.0,3
1,42,high,10,0.1105318039624609,0.05477942658255825,3836
1,42,high,20,0.1981230448383733,0.07677846338313643,3836
1,42,low,10,0.01098901098901099,0.004732709429377945,91
1,42,low,20,0.01098901098901099,0.004732709429377945,91
1,42,medium,10,0.008076009501187649,0.0028804906547122,2105
1,42,medium,20,0.024228028503562947,0.006805996741812063,2105
1,42,unknown,10,0.0,0.0,3
1,42,unknown,20,0.0,0.0,3
1,43,high,10,0.11183524504692388,0.056214686935787316,3836
1,43,high,20,0.19369134515119918,0.07668825132738173,3836
1,43,low,10,0.0,0.0,91
1,43,low,20,0.01098901098901099,0.0029696500486518654,91
1,43,medium,10,0.00855106888361045,0.0033232642208178933,2105
1,43,medium,20,0.02660332541567696,0.007869211154740922,2105
1,43,unknown,10,0.0,0.0,3
1,43,unknown,20,0.0,0.0,3
1,44,high,10,0.11444212721584984,0.0557411673493878,3836
1,44,high,20,0.20072992700729927,0.07738316168576842,3836
1,44,low,10,0.01098901098901099,0.003466646997645371,91
1,44,low,20,0.01098901098901099,0.003466646997645371,91
1,44,medium,10,0.008076009501187649,0.0027958639709631354,2105
1,44,medium,20,0.019952494061757718,0.00581677050751313,2105
1,44,unknown,10,0.0,0.0,3
1,44,unknown,20,0.0,0.0,3
2,42,high,10,0.11183524504692388,0.05518848702542553,3836
2,42,high,20,0.19681960375391033,0.07652701716861907,3836
2,42,low,10,0.0,0.0,91
2,42,low,20,0.01098901098901099,0.0030653070950673613,91
2,42,medium,10,0.005700712589073635,0.0020435581537484714,2105
2,42,medium,20,0.0166270783847981,0.004735852886097566,2105
2,42,unknown,10,0.0,0.0,3
2,42,unknown,20,0.0,0.0,3
2,43,high,10,0.11235662148070907,0.056831553692540414,3836
2,43,high,20,0.19421272158498437,0.07741313804785213,3836
2,43,low,10,0.0,0.0,91
2,43,low,20,0.0,0.0,91
2,43,medium,10,0.007125890736342043,0.002923085243904535,2105
2,43,medium,20,0.019002375296912115,0.005931028020945222,2105
2,43,unknown,10,0.0,0.0,3
2,43,unknown,20,0.0,0.0,3
2,44,high,10,0.117570385818561,0.05678466815974645,3836
2,44,high,20,0.20255474452554745,0.07816123046170191,3836
2,44,low,10,0.0,0.0,91
2,44,low,20,0.01098901098901099,0.002886258626782347,91
2,44,medium,10,0.005225653206650831,0.001786977847442622,2105
2,44,medium,20,0.015676959619952493,0.004384340567611842,2105
2,44,unknown,10,0.0,0.0,3
2,44,unknown,20,0.0,0.0,3
