n_layers,group,K,recall_mean,recall_std,ndcg_mean,ndcg_std,n_seeds,n_test_cases
0,low,10,0.0,0.0,0.0,0.0,3,91
0,low,20,0.007326007326007327,0.006344508452633251,0.001709842954309148,0.001480933041301239,3,91
0,medium,10,0.010292953285827395,0.001798545794394386,0.004236264073073336,0.0007380986688414749,3,2105
0,medium,20,0.026286619160728424,0.0038398592725200752,0.00824823383564561,0.0013055647271628782,3,2105
0,high,10,0.1029718456725756,0.00026068821689259614,0.05036902944385174,0.0007967948239390814,3,3836
0,high,20,0.1813521028849496,0.001482335949707325,0.07001310823185798,0.0010788033740154628,3,3836
0,unknown,10,0.0,0.0,0.0,0.0,3,3
0,unknown,20,0.0,0.0,0.0,0.0,3,3
1,low,10,0.007326007326007327,0.006344508452633251,0.0027331188090077723,0.002450139248772444,3,91
1,low,20,0.01098901098901099,0.0,0.003723002158558394,0.0009090561431433228,3,91
1,medium,10,0.008234362628661916,0.0002742756623228619,0.0029998729488310764,0.0002832434553498627,3,2105
1,medium,20,0.023594615993665875,0.0033703557646544363,0.006830659468022038,0.001026442565439631,3,2105
1,high,10,0.11226972540841156,0.001991039144488979,0.05557842695591112,0.0007313387704337248,3,3836
1,high,20,0.19751477233229062,0.0035584976067854104,0.0769499587987622,0.0003778665237008568,3,3836
1,unknown,10,0.0,0.0,0.0,0.0,3,3
1,unknown,20,0.0,0.0,0.0,0.0,3,3
2,low,10,0.0,0.0,0.0,0.0,3,91
2,low,20,0.007326007326007327,0.006344508452633251,0.0019838552406165693,0.0017203998954574986,3,91
2,medium,10,0.006017418844022169,0.000988914964116928,0.002251207081698543,0.000595838536881408,3,2105
2,medium,20,0.0171021377672209,0.0017128509622156725,0.005017073824884876,0.0008107863046968891,3,2105
2,high,10,0.11392075078206465,0.0031714090356090782,0.0562682362925708,0.0009353841046446611,3,3836
2,high,20,0.1978623566214807,0.004267650037472597,0.07736712855939104,0.000818077579813495,3,3836
2,unknown,10,0.0,0.0,0.0,0.0,3,3
2,unknown,20,0.0,0.0,0.0,0.0,3,3
