n_layers,seed,group,K,Recall,NDCG,n_test_cases
0,42,high,10,0.0305532617671346,0.012900394008027194,1211
0,42,high,20,0.05532617671345995,0.01915913186091901,1211
0,42,low,10,0.10561056105610561,0.05115515452908655,1212
0,42,low,20,0.18894389438943895,0.07202183447192523,1212
0,42,medium,10,0.06893687707641195,0.03371379777556134,3612
0,42,medium,20,0.12430786267995571,0.04753015671053705,3612
0,43,high,10,0.023947151114781174,0.009174940308356605,1211
0,43,high,20,0.04789430222956235,0.015161800864495013,1211
0,43,low,10,0.11303630363036303,0.05548019493265054,1212
0,43,low,20,0.20627062706270627,0.07908206736381085,1212
0,43,medium,10,0.07059800664451828,0.03456610511381455,3612
0,43,medium,20,0.12486157253599114,0.04818186234875859,3612
0,44,high,10,0.02559867877786953,0.012053560949449572,1211
0,44,high,20,0.05119735755573906,0.018525057755754862,1211
0,44,low,10,0.11551155115511551,0.05581218017511695,1212
0,44,low,20,0.20462046204620463,0.07802320966646277,1212
0,44,medium,10,0.06755260243632337,0.033653181378207934,3612
0,44,medium,20,0.12209302325581395,0.04730201187024187,3612
1,42,high,10,0.0305532617671346,0.014562278553099656,1211
1,42,high,20,0.061932287365813375,0.022469870439131522,1211
1,42,low,10,0.12046204620462046,0.060556832152805065,1212
1,42,low,20,0.2145214521452145,0.08403830083160381,1212
1,42,medium,10,0.07170542635658915,0.034772477812827406,3612
1,42,medium,20,0.13205980066445183,0.0498931482634571,3612
1,43,high,10,0.02477291494632535,0.010954631127379606,1211
1,43,high,20,0.04706853839801817,0.01659324474058894,1211
1,43,low,10,0.12458745874587458,0.06272687842596983,1212
1,43,low,20,0.21699669966996699,0.08596576422700943,1212
1,43,medium,10,0.07364341085271318,0.036916936689637234,3612
1,43,medium,20,0.132890365448505,0.051696050416114254,3612
1,44,high,10,0.03137902559867878,0.014330834313773372,1211
1,44,high,20,0.06523534269199009,0.02272291726471163,1211
1,44,low,10,0.12788778877887788,0.061744308835270344,1212
1,44,low,20,0.2235973597359736,0.08574286284377786,1212
1,44,medium,10,0.07308970099667775,0.03539178677341847,3612
1,44,medium,20,0.12818383167220376,0.04927014741070986,3612
2,42,high,10,0.03303055326176713,0.014684767189528663,1211
2,42,high,20,0.06275805119735756,0.021995212679220996,1211
2,42,low,10,0.11386138613861387,0.05833989275763986,1212
2,42,low,20,0.2079207920792079,0.08206945691307296,1212
2,42,medium,10,0.07281284606866002,0.03530274724651001,3612
2,42,medium,20,0.12818383167220376,0.04919744374211743,3612
2,43,high,10,0.0305532617671346,0.01404022154391162,1211
2,43,high,20,0.05037159372419488,0.01902649840715388,1211
2,43,low,10,0.12046204620462046,0.062217612489203274,1212
2,43,low,20,0.22524752475247525,0.08846660422860864,1212
2,43,medium,10,0.07281284606866002,0.03647521588494262,3612
2,43,medium,20,0.12486157253599114,0.049606588493774494,3612
2,44,high,10,0.03220478943022296,0.014410462997496187,1211
2,44,high,20,0.06440957886044592,0.022426708486454935,1211
2,44,low,10,0.12623762376237624,0.06219510369801667,1212
2,44,low,20,0.22194719471947194,0.08644745379858348,1212
2,44,medium,10,0.07475083056478406,0.03564674392516335,3612
2,44,medium,20,0.12846068660022147,0.04910994144517401,3612
