seed,group,K,Recall,NDCG
42,high,10,0.11183524504692388,0.05518848702542553
42,high,20,0.19681960375391033,0.07652701716861907
42,low,10,0.0,0.0
42,low,20,0.01098901098901099,0.0030653070950673613
42,medium,10,0.005700712589073635,0.0020435581537484714
42,medium,20,0.0166270783847981,0.004735852886097566
42,unknown,10,0.0,0.0
42,unknown,20,0.0,0.0
43,high,10,0.11235662148070907,0.056831553692540414
43,high,20,0.19421272158498437,0.07741313804785213
43,low,10,0.0,0.0
43,low,20,0.0,0.0
43,medium,10,0.007125890736342043,0.002923085243904535
43,medium,20,0.019002375296912115,0.005931028020945222
43,unknown,10,0.0,0.0
43,unknown,20,0.0,0.0
44,high,10,0.117570385818561,0.05678466815974645
44,high,20,0.20255474452554745,0.07816123046170191
44,low,10,0.0,0.0
44,low,20,0.01098901098901099,0.002886258626782347
44,medium,10,0.005225653206650831,0.001786977847442622
44,medium,20,0.015676959619952493,0.004384340567611842
44,unknown,10,0.0,0.0
44,unknown,20,0.0,0.0
