seed,group,K,Recall,NDCG
42,high,10,0.03303055326176713,0.014684767189528663
42,high,20,0.06275805119735756,0.021995212679220996
42,low,10,0.11386138613861387,0.05833989275763986
42,low,20,0.2079207920792079,0.08206945691307296
42,medium,10,0.07281284606866002,0.03530274724651001
42,medium,20,0.12818383167220376,0.04919744374211743
43,high,10,0.0305532617671346,0.01404022154391162
43,high,20,0.05037159372419488,0.01902649840715388
43,low,10,0.12046204620462046,0.062217612489203274
43,low,20,0.22524752475247525,0.08846660422860864
43,medium,10,0.07281284606866002,0.03647521588494262
43,medium,20,0.12486157253599114,0.049606588493774494
44,high,10,0.03220478943022296,0.014410462997496187
44,high,20,0.06440957886044592,0.022426708486454935
44,low,10,0.12623762376237624,0.06219510369801667
44,low,20,0.22194719471947194,0.08644745379858348
44,medium,10,0.07475083056478406,0.03564674392516335
44,medium,20,0.12846068660022147,0.04910994144517401
