scenario,alpha,figure_type,path
low,0.0,degree_distribution,results/simulation_alpha_diagnostics/alpha_0_0_degree_distribution.png
low,0.0,test_composition,results/simulation_alpha_diagnostics/alpha_0_0_test_composition.png
low,0.0,grouped_recall20,results/simulation_alpha_diagnostics/alpha_0_0_grouped_recall20.png
low,0.0,head_tail_gap_by_seed,results/simulation_alpha_diagnostics/alpha_0_0_head_tail_gap_by_seed.png
low,0.0,degree_norm_correlation_by_seed,results/simulation_alpha_diagnostics/alpha_0_0_degree_norm_correlation_by_seed.png
medium,0.7,degree_distribution,results/simulation_alpha_diagnostics/alpha_0_7_degree_distribution.png
medium,0.7,test_composition,results/simulation_alpha_diagnostics/alpha_0_7_test_composition.png
medium,0.7,grouped_recall20,results/simulation_alpha_diagnostics/alpha_0_7_grouped_recall20.png
medium,0.7,head_tail_gap_by_seed,results/simulation_alpha_diagnostics/alpha_0_7_head_tail_gap_by_seed.png
medium,0.7,degree_norm_correlation_by_seed,results/simulation_alpha_diagnostics/alpha_0_7_degree_norm_correlation_by_seed.png
high,1.3,degree_distribution,results/simulation_alpha_diagnostics/alpha_1_3_degree_distribution.png
high,1.3,test_composition,results/simulation_alpha_diagnostics/alpha_1_3_test_composition.png
high,1.3,grouped_recall20,results/simulation_alpha_diagnostics/alpha_1_3_grouped_recall20.png
high,1.3,head_tail_gap_by_seed,results/simulation_alpha_diagnostics/alpha_1_3_head_tail_gap_by_seed.png
high,1.3,degree_norm_correlation_by_seed,results/simulation_alpha_diagnostics/alpha_1_3_degree_norm_correlation_by_seed.png
