scenario,alpha,generation_seed,n_users,n_items,n_communities,interactions_per_user,n_train_interactions,n_validation_interactions,n_test_interactions,mean_item_degree,std_item_degree,item_degree_cv,item_degree_gini,min_item_degree,median_item_degree,max_item_degree,p90_item_degree,zero_degree_items,low_group_threshold,high_group_threshold,cold_start_test_count,cold_start_test_share,tail_test_count,tail_test_share,medium_test_count,medium_test_share,head_test_count,head_test_share
low,0.0,40,1000,600,5,20,18000,1000,1000,30.0,5.206086181896467,0.17353620606321557,0.09778277777777779,16,30.0,46,37.0,0,26.0,34.0,0,0.0,255,0.255,513,0.513,232,0.232
low,0.0,41,1000,600,5,20,18000,1000,1000,30.0,5.55007507456731,0.185002502485577,0.10430148148148154,15,30.0,47,38.0,0,25.0,34.0,0,0.0,227,0.227,507,0.507,266,0.266
low,0.0,42,1000,600,5,20,18000,1000,1000,30.0,5.415717865620402,0.1805239288540134,0.10151462962962966,15,30.0,50,37.0,0,26.0,35.0,0,0.0,259,0.259,551,0.551,190,0.19
low,0.0,43,1000,600,5,20,18000,1000,1000,30.0,5.360348247393385,0.17867827491311283,0.1010912962962963,17,30.0,49,37.0,0,25.0,35.0,0,0.0,218,0.218,582,0.582,200,0.2
low,0.0,44,1000,600,5,20,18000,1000,1000,30.0,5.280151512977634,0.1760050504325878,0.099222962962963,15,30.0,47,37.0,0,26.0,35.0,0,0.0,259,0.259,527,0.527,214,0.214
medium,0.7,40,1000,600,5,20,18000,1000,1000,30.0,33.56267768419757,1.1187559228065855,0.42535518518518517,5,20.0,273,55.10000000000002,0,13.0,37.0,0,0.0,93,0.093,387,0.387,520,0.52
medium,0.7,41,1000,600,5,20,18000,1000,1000,30.0,34.3022836946269,1.1434094564875634,0.4288931481481482,3,20.0,283,55.10000000000002,0,13.0,36.0,0,0.0,112,0.112,411,0.411,477,0.477
medium,0.7,42,1000,600,5,20,18000,1000,1000,30.0,33.96753351854287,1.1322511172847625,0.4223483333333333,6,19.0,280,55.10000000000002,0,13.0,35.0,0,0.0,79,0.079,390,0.39,531,0.531
medium,0.7,43,1000,600,5,20,18000,1000,1000,30.0,33.22784976491858,1.1075949921639527,0.42483666666666664,4,19.0,275,56.0,0,13.0,37.0,0,0.0,111,0.111,387,0.387,502,0.502
medium,0.7,44,1000,600,5,20,18000,1000,1000,30.0,33.491292400662395,1.1163764133554133,0.41853148148148145,5,20.0,273,54.200000000000045,0,14.0,36.0,0,0.0,124,0.124,384,0.384,492,0.492
high,1.3,40,1000,600,5,20,18000,1000,1000,30.0,78.3778880382301,2.612596267941003,0.7335879629629629,0,8.0,665,59.0,5,4.0,25.0,1,0.001,42,0.042,189,0.189,769,0.769
high,1.3,41,1000,600,5,20,18000,1000,1000,30.0,79.2221349539803,2.6407378317993433,0.7332355555555555,0,8.0,673,53.200000000000045,7,4.0,25.0,2,0.002,28,0.028,186,0.186,786,0.786
high,1.3,42,1000,600,5,20,18000,1000,1000,30.0,78.80900963722358,2.6269669879074526,0.7315488888888889,0,8.0,681,59.0,9,4.0,25.0,2,0.002,29,0.029,175,0.175,796,0.796
high,1.3,43,1000,600,5,20,18000,1000,1000,30.0,79.16777543083212,2.638925847694404,0.7380092592592592,0,7.5,677,59.0,6,4.0,24.200000000000045,2,0.002,34,0.034,175,0.175,791,0.791
high,1.3,44,1000,600,5,20,18000,1000,1000,30.0,78.98546279748783,2.632848759916261,0.7338012962962963,0,8.0,674,58.0,5,4.0,25.200000000000045,2,0.002,35,0.035,160,0.16,805,0.805
