scenario,alpha,graph_generation_seed,model_optimisation_seed,n_train,n_validation,n_test,low_item_threshold,high_item_threshold,item_degree_cv,item_degree_gini,min_item_degree,median_item_degree,max_item_degree,zero_degree_items,overall_recall20,tail_recall20,tail_test_count,medium_recall20,medium_test_count,head_recall20,head_test_count,head_tail_gap,item_degree_norm_pearson,item_degree_norm_spearman,mean_item_embedding_norm,std_item_embedding_norm
low,0.0,40,42,18000,1000,1000,26.0,34.0,0.17353620606321557,0.09778277777777779,16,30.0,46,0,0.079,0.03137254901960784,255,0.08771929824561403,513,0.11206896551724138,232,0.08069641649763354,0.7119384508227561,0.6945061785916927,2.0723819732666016,0.14828625321388245
low,0.0,41,42,18000,1000,1000,25.0,34.0,0.185002502485577,0.10430148148148154,15,30.0,47,0,0.078,0.06167400881057269,227,0.0670611439842209,507,0.11278195488721804,266,0.05110794607664535,0.6866165801599935,0.6840084251947505,2.065901517868042,0.1607668548822403
low,0.0,42,42,18000,1000,1000,26.0,35.0,0.1805239288540134,0.10151462962962966,15,30.0,50,0,0.076,0.06177606177606178,259,0.07078039927404718,551,0.11052631578947368,190,0.0487502540134119,0.7206399382309474,0.6995823329176544,2.073410987854004,0.1555248498916626
low,0.0,43,42,18000,1000,1000,25.0,35.0,0.17867827491311283,0.1010912962962963,17,30.0,49,0,0.064,0.022935779816513763,218,0.06529209621993128,582,0.105,200,0.08206422018348623,0.694005935272402,0.6786045963560307,2.0735249519348145,0.15616437792778015
low,0.0,44,42,18000,1000,1000,26.0,35.0,0.1760050504325878,0.099222962962963,15,30.0,47,0,0.081,0.03088803088803089,259,0.09867172675521822,527,0.09813084112149532,214,0.06724281023346443,0.7138767116782884,0.696718147479548,2.067546844482422,0.15909317135810852
medium,0.7,40,42,18000,1000,1000,13.0,37.0,1.1187559228065855,0.42535518518518517,5,20.0,273,0,0.229,0.0,93,0.00516795865633075,387,0.43653846153846154,520,0.43653846153846154,0.9055905504165083,0.8894398390527123,1.807620882987976,0.3870837986469269
medium,0.7,41,42,18000,1000,1000,13.0,36.0,1.1434094564875634,0.4288931481481482,3,20.0,283,0,0.221,0.0,112,0.0,411,0.46331236897274636,477,0.46331236897274636,0.9151231077531711,0.9032407716112643,1.7767069339752197,0.3871068060398102
medium,0.7,42,42,18000,1000,1000,13.0,35.0,1.1322511172847625,0.4223483333333333,6,19.0,280,0,0.251,0.0,79,0.005128205128205128,390,0.4689265536723164,531,0.4689265536723164,0.9163312619264306,0.8757661980318151,1.7790710926055908,0.379557728767395
medium,0.7,43,42,18000,1000,1000,13.0,37.0,1.1075949921639527,0.42483666666666664,4,19.0,275,0,0.247,0.0,111,0.002583979328165375,387,0.4900398406374502,502,0.4900398406374502,0.9201344590979671,0.8900763066739581,1.788325548171997,0.37839919328689575
medium,0.7,44,42,18000,1000,1000,14.0,36.0,1.1163764133554133,0.41853148148148145,5,20.0,273,0,0.221,0.008064516129032258,124,0.010416666666666666,384,0.43902439024390244,492,0.4309598741148702,0.9065879932675308,0.8822820298614807,1.7979122400283813,0.38586586713790894
high,1.3,40,42,18000,1000,1000,4.0,25.0,2.612596267941003,0.7335879629629629,0,8.0,665,5,0.507,0.0,42,0.0,189,0.659297789336801,769,0.659297789336801,0.8747465551343044,0.8801368678591502,1.2607485055923462,0.7430232167243958
high,1.3,41,42,18000,1000,1000,4.0,25.0,2.6407378317993433,0.7332355555555555,0,8.0,673,7,0.501,0.0,28,0.0,186,0.6374045801526718,786,0.6374045801526718,0.873691822287083,0.8619495018647836,1.2823606729507446,0.7343582510948181
high,1.3,42,42,18000,1000,1000,4.0,25.0,2.6269669879074526,0.7315488888888889,0,8.0,681,9,0.536,0.0,29,0.0,175,0.6733668341708543,796,0.6733668341708543,0.8753042588545052,0.878609430152166,1.2881206274032593,0.7355025410652161
high,1.3,43,42,18000,1000,1000,4.0,24.200000000000045,2.638925847694404,0.7380092592592592,0,7.5,677,6,0.543,0.0,34,0.0,175,0.6864728192161821,791,0.6864728192161821,0.8706073256135299,0.8776217772058698,1.2564135789871216,0.7499181628227234
high,1.3,44,42,18000,1000,1000,4.0,25.200000000000045,2.632848759916261,0.7338012962962963,0,8.0,674,5,0.512,0.0,35,0.0,160,0.6360248447204969,805,0.6360248447204969,0.8718494444377201,0.8661532648626166,1.2603720426559448,0.7463109493255615
