model,K,metric,head_mean,tail_mean,head_tail_gap,ci_lower_95,ci_upper_95,bootstrap_samples,n_head_test_cases,n_tail_test_cases
Popularity,10,NDCG,0.029659538395938996,0.0,0.029659538395938996,0.025555525349947483,0.033793925622140945,2000,3836,91
Popularity,10,Recall,0.06230448383733055,0.0,0.06230448383733055,0.05448383733055266,0.06986444212721585,2000,3836,91
Popularity,20,NDCG,0.04268339669218565,0.0,0.04268339669218565,0.038539502392660796,0.04713889723008402,2000,3836,91
Popularity,20,Recall,0.11444212721584984,0.0,0.11444212721584984,0.10427528675703858,0.1248696558915537,2000,3836,91
ItemCF,10,NDCG,0.04568521224597375,0.0,0.04568521224597375,0.0407676040474198,0.051248316576534905,2000,3836,91
ItemCF,10,Recall,0.09332638164754953,0.0,0.09332638164754953,0.08420229405630865,0.1024504692387904,2000,3836,91
ItemCF,20,NDCG,0.061501622786324615,0.0,0.061501622786324615,0.056460537938726074,0.066802040431398,2000,3836,91
ItemCF,20,Recall,0.15641293013555788,0.0,0.15641293013555788,0.1457247132429614,0.16710114702815432,2000,3836,91
LightGCN,10,NDCG,0.05626823629257079,0.0,0.05626823629257079,0.05091910731479662,0.06162016419586995,2000,3836,91
LightGCN,10,Recall,0.11392075078206465,0.0,0.11392075078206465,0.1047075947167188,0.12347931873479318,2000,3836,91
LightGCN,20,NDCG,0.07736712855939104,0.0019838552406165693,0.07538327331877447,0.06822703052207596,0.08192190363117947,2000,3836,91
LightGCN,20,Recall,0.19786235662148072,0.007326007326007326,0.1905363492954734,0.1698016095826315,0.2068126520681265,2000,3836,91
