model,K,metric,mean,ci_lower_95,ci_upper_95,bootstrap_samples,n_test_cases
Popularity,10,NDCG,0.018852359451006127,0.016174715809946394,0.021614677920294416,2000,6035
Popularity,10,Recall,0.0396023198011599,0.03463131731565866,0.0444076222038111,2000,6035
Popularity,20,NDCG,0.027130656124477903,0.024447025072027298,0.029954749698967196,2000,6035
Popularity,20,Recall,0.07274233637116818,0.06644159072079536,0.07937033968516985,2000,6035
ItemCF,10,NDCG,0.02903868669023286,0.025960775206000868,0.03209758589241704,2000,6035
ItemCF,10,Recall,0.05932062966031483,0.05352112676056338,0.06495857497928748,2000,6035
ItemCF,20,NDCG,0.039176561088177644,0.035959016307985786,0.04256344081932357,2000,6035
ItemCF,20,Recall,0.09975144987572494,0.09196354598177299,0.10720795360397681,2000,6035
LightGCN,10,NDCG,0.036550744875770834,0.03319425207599582,0.04006258391034979,2000,6035
LightGCN,10,Recall,0.07450980392156863,0.0682118199392433,0.08097210715272024,2000,6035
LightGCN,20,NDCG,0.050956383824706346,0.047354164387560266,0.0545902544580431,2000,6035
LightGCN,20,Recall,0.13184203258768296,0.12372272852803093,0.13941038387185858,2000,6035
