model_a,model_b,difference,K,metric,mean_difference,ci_lower_95,ci_upper_95,bootstrap_p_two_sided,bootstrap_samples,n_paired_test_cases
ItemCF,Popularity,ItemCF - Popularity,10,NDCG,0.01018632723922673,0.007302024602001614,0.013169128932973668,0.0,2000,6035
LightGCN,ItemCF,LightGCN - ItemCF,10,NDCG,0.007512058185537979,0.0041892571002351674,0.010718311721577115,0.0,2000,6035
LightGCN,Popularity,LightGCN - Popularity,10,NDCG,0.01769838542476471,0.014064742058833955,0.02134115268238895,0.0,2000,6035
ItemCF,Popularity,ItemCF - Popularity,20,NDCG,0.012045904963699745,0.009219382861574563,0.014687810560077749,0.0,2000,6035
LightGCN,ItemCF,LightGCN - ItemCF,20,NDCG,0.011779822736528696,0.008568690348406988,0.015017742517963253,0.0,2000,6035
LightGCN,Popularity,LightGCN - Popularity,20,NDCG,0.023825727700228443,0.020091301545435317,0.02759800941910241,0.0,2000,6035
ItemCF,Popularity,ItemCF - Popularity,10,Recall,0.01971830985915493,0.014581607290803645,0.025020712510356254,0.0,2000,6035
LightGCN,ItemCF,LightGCN - ItemCF,10,Recall,0.015189174261253796,0.009222590444628552,0.02165285832642915,0.0,2000,6035
LightGCN,Popularity,LightGCN - Popularity,10,Recall,0.03490748412040872,0.02849765258215962,0.04164595415631041,0.0,2000,6035
ItemCF,Popularity,ItemCF - Popularity,20,Recall,0.027009113504556752,0.02104391052195526,0.033140016570008285,0.0,2000,6035
LightGCN,ItemCF,LightGCN - ItemCF,20,Recall,0.03209058271195802,0.02485363159348246,0.03949185307925987,0.0,2000,6035
LightGCN,Popularity,LightGCN - Popularity,20,Recall,0.05909969621651477,0.0508146920740127,0.06733084783209058,0.0,2000,6035
