user_idx,embedding_norm,degree,degree_group
0,1.8374966,43.0,medium
1,1.8316221,71.0,medium
2,1.771571,35.0,medium
3,1.7015935,16.0,low
4,1.9994543,80.0,medium
5,1.708624,48.0,medium
6,1.6515638,24.0,medium
7,1.9667017,83.0,medium
8,2.3008194,67.0,medium
9,2.3799417,303.0,high
10,1.7487612,66.0,medium
11,1.3538373,12.0,low
12,1.4766052,38.0,medium
13,1.1518543,11.0,low
14,2.1124246,97.0,medium
15,1.4570401,11.0,low
16,1.9277431,165.0,high
17,2.0754154,192.0,high
18,2.0217712,141.0,medium
19,1.6066092,17.0,low
20,1.3959476,4.0,low
21,1.771593,117.0,medium
22,2.2311592,127.0,medium
23,2.2910333,108.0,medium
24,1.7090449,50.0,medium
25,1.7057042,100.0,medium
26,2.0136645,52.0,medium
27,1.78642,68.0,medium
28,2.0220096,50.0,medium
29,1.3198484,20.0,low
30,1.8889838,66.0,medium
31,1.5364954,26.0,medium
32,2.088937,198.0,high
33,2.1868768,111.0,medium
34,1.9946237,113.0,medium
35,2.0819535,301.0,high
36,1.7829998,34.0,medium
37,2.0173907,54.0,medium
38,1.9373097,32.0,medium
39,1.9491234,48.0,medium
40,1.1214592,12.0,low
41,2.4250515,141.0,medium
42,1.4551748,18.0,low
43,1.9896601,118.0,medium
44,2.0889986,89.0,medium
45,2.9465322,31.0,medium
46,1.5899622,15.0,low
47,2.034408,154.0,high
48,1.5260274,63.0,medium
49,1.3470206,11.0,low
50,1.289009,24.0,medium
51,1.9291607,44.0,medium
52,1.6868467,534.0,high
53,1.8906823,31.0,medium
54,1.3280344,16.0,low
55,2.0850086,48.0,medium
56,1.4597286,29.0,medium
57,2.442421,322.0,high
58,2.2058375,107.0,medium
59,1.720858,32.0,medium
60,1.387923,7.0,low
61,1.9409822,261.0,high
62,2.0300558,48.0,medium
63,1.393864,21.0,low
64,2.093201,106.0,medium
65,1.3213719,14.0,low
66,1.9004632,54.0,medium
67,1.7520653,48.0,medium
68,1.9539119,52.0,medium
69,1.5982143,32.0,medium
70,1.5066862,17.0,low
71,1.4914483,28.0,medium
72,2.1366785,115.0,medium
73,1.6399385,28.0,medium
74,2.7559807,132.0,medium
75,2.1442106,71.0,medium
76,1.5537493,10.0,low
77,1.8460358,80.0,medium
78,1.2213842,14.0,low
79,1.6707947,31.0,medium
80,2.1492455,72.0,medium
81,2.0214021,86.0,medium
82,1.624177,54.0,medium
83,1.438065,20.0,low
84,1.4365752,13.0,low
85,1.5416231,40.0,medium
86,1.6412977,25.0,medium
87,1.9682947,53.0,medium
88,1.4047983,11.0,low
89,1.6668983,102.0,medium
90,1.5202107,40.0,medium
91,2.08753,140.0,medium
92,2.1463387,82.0,medium
93,1.4877187,12.0,low
94,1.8625782,52.0,medium
95,1.9674656,47.0,medium
96,2.6583436,143.0,high
97,1.162206,10.0,low
98,1.5245087,49.0,medium
99,1.5429157,18.0,low
100,2.2622252,96.0,medium
101,1.6239034,57.0,medium
102,2.3110547,84.0,medium
103,1.7062699,19.0,low
104,1.9852878,48.0,medium
105,2.0698051,34.0,medium
106,2.008349,73.0,medium
107,1.4955714,15.0,low
108,1.9673322,69.0,medium
109,2.0525045,32.0,medium
110,2.1208034,57.0,medium
111,1.9576565,43.0,medium
112,1.7715703,37.0,medium
113,1.9904109,64.0,medium
114,1.6809036,20.0,low
115,1.691867,54.0,medium
116,2.32618,208.0,high
117,2.11095,133.0,medium
118,1.8474681,49.0,medium
119,1.8054068,32.0,medium
120,1.9087948,61.0,medium
121,1.7194247,23.0,medium
122,1.959518,284.0,high
123,1.5381902,18.0,low
124,1.743984,54.0,medium
125,1.5091408,36.0,medium
126,1.8287766,110.0,medium
127,1.1558294,16.0,low
128,1.8937465,122.0,medium
129,2.492537,112.0,medium
130,2.216039,166.0,high
131,1.8788656,61.0,medium
132,1.7748836,123.0,medium
133,1.6487827,53.0,medium
134,1.7799723,38.0,medium
135,1.4939893,169.0,high
136,1.9072738,115.0,medium
137,1.6570821,57.0,medium
138,2.1130283,155.0,high
139,1.7335514,34.0,medium
140,1.437537,13.0,low
141,1.5454173,21.0,low
142,1.8957741,34.0,medium
143,1.711691,15.0,low
144,1.5092221,13.0,low
145,2.2078402,278.0,high
146,2.1407056,99.0,medium
147,2.4117703,389.0,high
148,2.238496,427.0,high
149,2.265176,186.0,high
150,1.7738142,280.0,high
151,1.3542582,18.0,low
152,1.4982765,17.0,low
153,1.54394,13.0,low
154,1.3283287,37.0,medium
155,2.1777637,128.0,medium
156,1.9947212,260.0,high
157,1.1389061,15.0,low
158,1.6422579,21.0,low
159,1.2098539,7.0,low
160,2.3705747,271.0,high
161,1.9260223,79.0,medium
162,1.8852051,56.0,medium
163,1.7074659,22.0,medium
164,1.8428233,81.0,medium
165,1.6784033,225.0,high
166,1.5421001,16.0,low
167,1.5576726,16.0,low
168,1.9254448,334.0,high
169,1.66921,60.0,medium
170,1.3898708,17.0,low
171,1.2455199,10.0,low
172,2.7446244,391.0,high
173,2.1960807,54.0,medium
174,2.0249262,230.0,high
175,1.8639401,43.0,medium
176,1.7875599,31.0,medium
177,2.1364455,77.0,medium
178,1.5588812,26.0,medium
179,1.5016162,33.0,medium
180,2.1119008,180.0,high
181,1.8711675,53.0,medium
182,1.8046774,75.0,medium
183,2.094034,58.0,medium
184,1.8613726,25.0,medium
185,1.9453732,100.0,medium
186,2.8995602,348.0,high
187,1.4217677,26.0,medium
188,1.378129,20.0,low
189,2.1044164,84.0,medium
190,1.3125143,12.0,low
191,2.11734,209.0,high
192,2.0315032,147.0,high
193,1.7552437,46.0,medium
194,1.6706009,565.0,high
195,1.4817652,21.0,low
196,1.4708594,13.0,low
197,2.4965591,244.0,high
198,1.5772027,177.0,high
199,1.1807747,11.0,low
200,1.7234674,60.0,medium
201,2.1063554,284.0,high
202,1.6664947,23.0,medium
203,2.4048727,243.0,high
204,1.8686864,108.0,medium
205,1.3359487,12.0,low
206,1.2303756,13.0,low
207,2.132396,104.0,medium
208,1.1982025,7.0,low
209,2.1777112,77.0,medium
210,1.4089348,23.0,medium
211,1.626376,78.0,medium
212,1.7524484,17.0,low
213,1.6720763,69.0,medium
214,1.7041663,30.0,medium
215,1.8272008,333.0,high
216,1.4341059,9.0,low
217,1.6898663,32.0,medium
218,1.3249123,12.0,low
219,2.018025,77.0,medium
220,1.1970758,10.0,low
221,1.7557839,66.0,medium
222,2.261516,127.0,medium
223,2.1156747,95.0,medium
224,2.5001185,277.0,high
225,1.4981002,9.0,low
226,1.4856391,11.0,low
227,1.6773072,25.0,medium
228,1.7931558,97.0,medium
229,1.6702273,138.0,medium
230,2.1156318,78.0,medium
231,2.0357904,51.0,medium
232,2.2871897,47.0,medium
233,1.6094998,24.0,medium
234,2.2953212,343.0,high
235,1.8261372,38.0,medium
236,2.1042757,89.0,medium
237,1.951558,151.0,high
238,1.7159814,52.0,medium
239,1.7793199,57.0,medium
240,1.8629289,41.0,medium
241,1.8529702,98.0,medium
242,1.6955048,17.0,low
243,1.8584033,70.0,medium
244,2.2344022,139.0,medium
245,1.4170947,17.0,low
246,1.7270406,17.0,low
247,1.3981768,22.0,medium
248,1.9396107,70.0,medium
249,1.5866479,10.0,low
250,1.6818049,39.0,medium
251,1.8301219,45.0,medium
252,1.7422329,41.0,medium
253,1.5902649,14.0,low
254,2.0969834,210.0,high
255,1.8416212,54.0,medium
256,1.8467424,42.0,medium
257,1.8995038,84.0,medium
258,2.0872006,109.0,medium
259,2.1276224,69.0,medium
260,1.8501426,201.0,high
261,1.8711809,44.0,medium
262,1.978946,55.0,medium
263,1.8681568,103.0,medium
264,2.2057586,80.0,medium
265,1.8588306,42.0,medium
266,1.66314,59.0,medium
267,2.607941,143.0,high
268,1.2960514,17.0,low
269,1.6776459,104.0,medium
270,2.2053332,225.0,high
271,2.543702,303.0,high
272,1.8848854,120.0,medium
273,2.127396,125.0,medium
274,1.9878367,65.0,medium
275,1.5181874,12.0,low
276,1.4429089,14.0,low
277,3.184512,133.0,medium
278,1.4457022,13.0,low
279,1.6789416,33.0,medium
280,1.9184754,71.0,medium
281,1.4450277,13.0,low
282,1.2337939,25.0,medium
283,1.8557621,187.0,high
284,1.7687836,103.0,medium
285,1.7322559,28.0,medium
286,2.1339219,61.0,medium
287,1.9790467,51.0,medium
288,1.8683993,51.0,medium
289,1.4410511,11.0,low
290,1.9585904,87.0,medium
291,1.5888782,25.0,medium
292,2.152615,172.0,high
293,1.7803016,25.0,medium
294,1.7925065,121.0,medium
295,1.5910643,61.0,medium
296,1.7655945,62.0,medium
297,1.6576588,19.0,low
298,1.7628884,84.0,medium
299,2.0722106,201.0,high
300,2.2816272,227.0,high
301,2.1799119,252.0,high
302,1.8648828,140.0,medium
303,1.6883479,12.0,low
304,1.5481769,42.0,medium
305,2.2065668,142.0,medium
306,2.4191058,162.0,high
307,2.1893926,278.0,high
308,1.9656907,97.0,medium
309,2.0410564,128.0,medium
310,1.5524573,15.0,low
311,1.7826377,35.0,medium
312,1.164081,18.0,low
313,2.1524706,180.0,high
314,1.5872202,13.0,low
315,1.9082227,58.0,medium
316,1.5826316,14.0,low
317,1.5096738,14.0,low
318,2.3399942,305.0,high
319,1.4175786,16.0,low
320,1.6715395,96.0,medium
321,1.9289726,33.0,medium
322,1.6403605,78.0,medium
323,1.8745519,39.0,medium
324,1.8264205,28.0,medium
325,2.2424862,150.0,high
326,2.2949884,144.0,high
327,1.4736187,15.0,low
328,1.8888017,204.0,high
329,1.3868273,57.0,medium
330,2.2501006,389.0,high
331,1.7869148,57.0,medium
332,2.001407,100.0,medium
333,1.8783778,46.0,medium
334,1.6161356,37.0,medium
335,2.2195623,84.0,medium
336,1.8720298,107.0,medium
337,2.2622232,226.0,high
338,2.227801,97.0,medium
339,2.0124881,52.0,medium
340,1.265341,13.0,low
341,1.9461269,73.0,medium
342,1.8107203,233.0,high
343,1.6926702,37.0,medium
344,1.3150585,18.0,low
345,2.2100027,251.0,high
346,1.9569008,70.0,medium
347,2.0815809,62.0,medium
348,2.1821504,94.0,medium
349,1.8430161,45.0,medium
350,1.7150327,69.0,medium
351,1.7721548,450.0,high
352,1.3263199,15.0,low
353,1.5816398,32.0,medium
354,2.154344,242.0,high
355,1.2629218,17.0,low
356,1.8483505,33.0,medium
357,1.5662792,44.0,medium
358,1.8066156,33.0,medium
359,1.66718,42.0,medium
360,1.6899923,14.0,low
361,1.511112,21.0,low
362,1.561685,25.0,medium
363,1.559598,13.0,low
364,1.7739694,18.0,low
365,2.2973173,185.0,high
366,1.8205326,23.0,medium
367,2.1518707,204.0,high
368,1.9548522,38.0,medium
369,1.795574,30.0,medium
370,1.8135396,35.0,medium
371,2.289734,150.0,high
372,1.2133207,11.0,low
373,1.8805668,43.0,medium
374,1.9840438,37.0,medium
375,1.8643491,90.0,medium
376,2.1063685,92.0,medium
377,1.5227458,21.0,low
378,1.820355,52.0,medium
379,2.1493404,87.0,medium
380,1.7308041,24.0,medium
381,1.4606701,37.0,medium
382,1.1439965,12.0,low
383,1.4455677,11.0,low
384,1.7971231,89.0,medium
385,2.020555,125.0,medium
386,1.600749,35.0,medium
387,2.0566542,37.0,medium
388,1.6920426,42.0,medium
389,2.3177488,124.0,medium
390,1.8949064,54.0,medium
391,2.0523243,265.0,high
392,1.786749,42.0,medium
393,1.3473208,9.0,low
394,1.4576122,11.0,low
395,1.8426138,97.0,medium
396,1.5044894,24.0,medium
397,2.3588662,156.0,high
398,1.3784993,22.0,medium
399,1.6681197,28.0,medium
400,1.83197,53.0,medium
401,2.081552,171.0,high
402,2.0934107,187.0,high
403,1.7527366,39.0,medium
404,1.3751879,33.0,medium
405,2.0809555,70.0,medium
406,1.4554071,15.0,low
407,1.9719038,121.0,medium
408,2.413122,221.0,high
409,2.0981321,66.0,medium
410,2.119872,262.0,high
411,1.8158307,406.0,high
412,1.8466878,88.0,medium
413,1.5350351,18.0,low
414,2.0543878,208.0,high
415,1.8084586,40.0,medium
416,1.5292758,12.0,low
417,1.6739917,26.0,medium
418,1.9758954,75.0,medium
419,1.7207953,52.0,medium
420,1.4250596,15.0,low
421,1.2221704,22.0,medium
422,1.4683055,14.0,low
423,2.4220073,786.0,high
424,1.8900661,126.0,medium
425,2.1081905,158.0,high
426,1.6345507,20.0,low
427,1.6505651,31.0,medium
428,2.1068683,144.0,high
429,1.9722486,43.0,medium
430,1.885697,51.0,medium
431,1.867247,22.0,medium
432,1.5161716,21.0,low
433,1.4944953,30.0,medium
434,2.2501564,88.0,medium
435,1.640737,89.0,medium
436,2.0189059,42.0,medium
437,2.1078897,335.0,high
438,2.0558355,60.0,medium
439,1.6321297,15.0,low
440,1.6464789,32.0,medium
441,1.9390152,291.0,high
442,1.6417525,21.0,low
443,2.0813022,91.0,medium
444,1.7651029,116.0,medium
445,1.861213,47.0,medium
446,1.6671399,35.0,medium
447,1.4549667,10.0,low
448,2.0435667,33.0,medium
449,1.879431,40.0,medium
450,2.4156656,198.0,high
451,1.4462056,117.0,medium
452,1.9937952,240.0,high
453,1.7932712,131.0,medium
454,1.7367896,19.0,low
455,1.986679,66.0,medium
456,2.264024,161.0,high
457,1.5095483,18.0,low
458,1.2480105,16.0,low
459,1.7223123,24.0,medium
460,2.0768118,214.0,high
461,2.0620427,92.0,medium
462,2.0131927,42.0,medium
463,1.8562105,46.0,medium
464,1.6951268,21.0,low
465,2.086777,175.0,high
466,1.6600262,28.0,medium
467,1.4708462,14.0,low
468,1.5824461,40.0,medium
469,2.084306,47.0,medium
470,1.7742183,57.0,medium
471,1.8307788,32.0,medium
472,1.9469342,39.0,medium
473,1.6897527,158.0,high
474,2.101077,165.0,high
475,2.0907342,280.0,high
476,2.2145054,102.0,medium
477,1.6416866,26.0,medium
478,2.055273,60.0,medium
479,1.7330661,48.0,medium
480,1.9502164,120.0,medium
481,1.8152645,313.0,high
482,1.2629447,9.0,low
483,1.5347506,20.0,low
484,1.759143,34.0,medium
485,1.6976513,27.0,medium
486,1.6665725,21.0,low
487,1.424225,11.0,low
488,1.5792676,10.0,low
489,1.8266907,50.0,medium
490,1.4313604,13.0,low
491,1.6111709,22.0,medium
492,1.8372113,120.0,medium
493,2.269563,137.0,medium
494,1.6892372,26.0,medium
495,1.6812404,99.0,medium
496,1.3016855,14.0,low
497,1.9859601,92.0,medium
498,2.1230464,134.0,medium
499,1.8126134,56.0,medium
500,1.4302307,33.0,medium
501,1.4596082,17.0,low
502,1.4252123,22.0,medium
503,1.456315,71.0,medium
504,2.0552144,99.0,medium
505,1.8868891,40.0,medium
506,1.5759387,28.0,medium
507,1.9382031,78.0,medium
508,1.8281918,307.0,high
509,1.7762234,62.0,medium
510,1.2768688,13.0,low
511,1.4710165,23.0,medium
512,1.6444781,75.0,medium
513,1.9816741,59.0,medium
514,2.0348923,90.0,medium
515,1.701005,60.0,medium
516,1.8120837,115.0,medium
517,1.8794421,215.0,high
518,1.4345404,22.0,medium
519,1.9156377,218.0,high
520,1.9003384,31.0,medium
521,1.7933737,34.0,medium
522,2.1041365,74.0,medium
523,2.211017,630.0,high
524,1.8285824,30.0,medium
525,1.821975,36.0,medium
526,1.5433782,18.0,low
527,2.7552168,270.0,high
528,2.1130717,100.0,medium
529,1.7978995,72.0,medium
530,2.4172053,307.0,high
531,1.535592,30.0,medium
532,2.0723863,289.0,high
533,1.8198338,67.0,medium
534,1.2726262,11.0,low
535,2.06312,151.0,high
536,1.984875,87.0,medium
537,1.6516743,43.0,medium
538,2.1958492,90.0,medium
539,1.7500838,17.0,low
540,2.069385,76.0,medium
541,1.5311042,21.0,low
542,2.7559872,513.0,high
543,1.9801407,55.0,medium
544,1.4292066,13.0,low
545,1.825913,113.0,medium
546,1.7886298,54.0,medium
547,1.7748522,42.0,medium
548,1.733818,758.0,high
549,1.6802772,514.0,high
550,2.1880982,159.0,high
551,1.252444,65.0,medium
552,1.7553362,53.0,medium
553,1.7487527,19.0,low
554,1.6743525,22.0,medium
555,2.3792093,125.0,medium
556,1.7569126,41.0,medium
557,2.17538,167.0,high
558,1.2017623,5.0,low
559,1.7871643,93.0,medium
560,1.4742128,22.0,medium
561,1.571743,21.0,low
562,1.7315922,86.0,medium
563,1.6252137,35.0,medium
564,1.5019941,13.0,low
565,1.8134216,87.0,medium
566,1.9069567,66.0,medium
567,1.2982728,22.0,medium
568,2.0801992,61.0,medium
569,1.8877637,118.0,medium
570,1.5762074,84.0,medium
571,1.2450054,5.0,low
572,1.3726864,25.0,medium
573,1.3527358,13.0,low
574,2.0332503,99.0,medium
575,1.6602795,34.0,medium
576,2.391437,135.0,medium
577,1.635862,18.0,low
578,1.7035834,52.0,medium
579,1.2958081,23.0,medium
580,1.9041977,29.0,medium
581,1.9491868,59.0,medium
